horse,site1,site2,diff
1,50.6,38,12.6
2,39.2,18.6,20.6
3,35.2,23.2,12
4,17,19,-2
5,11.2,6.6,4.6
6,14.2,16.4,-2.2
7,24.2,14.4,9.8
8,37.4,37.6,-0.2
9,35.2,24.4,10.8
