"","Name","City","State","Enrollment","Private","Region","Adm_Rate","ACT_median","ACT_Q1","ACT_Q3","Cost","Net_Tuition","Avg_Fac_Salary","PercentFemale","PercentWhite","PercentBlack","PercentHispanic","PercentAsian","FourYearComp_Males","FourYearComp_Females","Debt_median","Salary10yr_median"
"21","Alvernia University","Reading","PA",2176,"Private","Mid East",0.6838,20,17,17,46581,17256,66960,0.7112387203,0.792099990844726,0.135200004577636,0.0703999996185302,0.0183000004291534,0.492462311558,0.565874730022,22700,44500
"25","American International College","Springfield","MA",1307,"Private","New England",0.6839,19,16,16,47742,16040,63153,0.5941520468,0.745199966430664,0.133599996566772,0.128199996948242,0.0236999988555908,0.424528301887,0.579766536965,20050,46000
"28","American University","Washington","DC",7485,"Private","Mid East",0.3154,29,27,27,64040,31310,108405,0.6609547124,0.802600021362304,0.0997999954223632,0.0707000017166137,0.0457999992370605,0.715536105033,0.751560549313,20500,61000
"30","Amherst College","Amherst","MA",1855,"Private","New England",0.1281,33,31,31,71300,27541,116775,0.5439093484,0.756399993896484,0.0985999965667724,0.114300003051757,0.0703000020980835,0.842105263158,0.896907216495,11900,65000
"31","Anderson University","Anderson","IN",1392,"Private","Great Lakes",0.6502,22,19,19,42555,14605,56862,0.5635179153,0.910899963378906,0.053600001335144,0.0251999998092651,0.0100999999046325,0.398148148148,0.602564102564,19500,37200
"32","Anderson University","Anderson","SC",2685,"Private","South East",0.6229,23,20,20,41431,14915,59112,0.6955882353,0.804100036621093,0.167000007629394,0.0217000007629394,0.0081999999284744,0.464730290456,0.532299741602,19250,35200
"33","Andrews University","Berrien Springs","MI",1466,"Private","Great Lakes",0.6554,24,21,21,38948,15761,44559,0.580270793,0.756500015258789,0.145699996948242,0.0848999977111816,0.0322000002861023,0.443820224719,0.517412935323,21453,45200
"34","Angelo State University","San Angelo","TX",5892,"Public","South West",0.7324,20,17,17,18395,6236,65664,0.5607034156,0.798499984741211,0.0526999998092651,0.277299995422363,0.0101999998092651,0.302222222222,0.356350184957,11000,40200
"36","Appalachian State University","Boone","NC",17265,"Public","South East",0.6946,26,23,23,18972,6780,74529,0.5749588138,0.835,0.116899995803833,0.0383999991416931,0.0157000005245208,0.613040396882,0.698203592814,15647,38800
"37","Aquinas College","Grand Rapids","MI",1428,"Private","Great Lakes",0.6905,24,21,21,41612,13038,57024,0.6396694215,0.867900009155273,0.07,0.0496000003814697,0.0140999996662139,0.436842105263,0.520833333333,20500,37300
"38","Arcadia University","Glenside","PA",2003,"Private","Mid East",0.6416,24,21,21,57155,17159,71190,0.6840417001,0.818300018310547,0.113100004196167,0.0451999998092651,0.0311999988555908,0.642570281124,0.680392156863,22847,44100
"39","Arizona Christian University","Glendale","AZ",705,"Private","South West",0.5644,20,17,17,37562,11155,41463,0.2894736842,0.822699966430664,0.0234999990463256,0.197099990844726,0.0239000010490417,0.144329896907,0.185185185185,10500,32200
"42","Arizona State University-Polytechnic","Mesa","AZ",4495,"Public","South West",0.8337,24,21,21,23002,8643,78525,0.5568306611,0.787600021362304,0.0349000000953674,0.192000007629394,0.0290000009536743,0.507620164127,0.577367205543,14271,47700
"44","Arizona State University-Tempe","Tempe","AZ",42529,"Public","South West",0.8478,26,22,22,25621,20364,103059,0.5568306611,0.787600021362304,0.0349000000953674,0.192000007629394,0.0290000009536743,0.507620164127,0.577367205543,14271,47700
"45","Arizona State University-West","Glendale","AZ",3981,"Public","South West",0.8241,22,19,19,22594,10395,90864,0.5568306611,0.787600021362304,0.0349000000953674,0.192000007629394,0.0290000009536743,0.507620164127,0.577367205543,14271,47700
"46","Arkansas State University-Main Campus","Jonesboro","AR",8623,"Public","South East",0.7721,24,21,21,21375,4037,62118,0.6108749161,0.832600021362304,0.139499998092651,0.0192999994754791,0.0049000000953674,0.296529968454,0.378129790496,15000,32200
"51","Ashland University","Ashland","OH",3955,"Private","Great Lakes",0.6806,23,20,20,32757,13148,63468,0.4403549129,0.904199981689453,0.0613000011444091,0.0185000002384185,0.0125,0.43109540636,0.56,19356,40400
"56","Auburn University","Auburn","AL",24147,"Public","South East",0.7543,28,25,25,31282,15908,93852,0.531504671,0.759000015258789,0.197999992370605,0.0289000010490417,0.0164999997615814,0.582055214724,0.704172876304,16380,48800
"57","Auburn University at Montgomery","Montgomery","AL",4529,"Public","South East",0.9281,21,19,19,18291,7582,69102,0.6929480901,0.599700012207031,0.372099990844726,0.0162000000476837,0.0091000002622604,0.243523316062,0.268085106383,12500,33300
"58","Augsburg University","Minneapolis","MN",2311,"Private","Plains",0.6896,22,19,19,51251,16399,69588,0.5464480874,0.875999984741211,0.0469999980926513,0.0331999993324279,0.0341000008583068,0.530546623794,0.573333333333,20834,46800
"61","Augustana University","Sioux Falls","SD",1752,"Private","Plains",0.6542,26,23,23,45145,13518,62055,0.6524590164,0.940599975585937,0.0112999999523162,0.0249000000953674,0.0111000001430511,0.567375886525,0.688118811881,22330,43700
"62","Aurora University","Aurora","IL",3944,"Private","Great Lakes",0.8116,21,19,19,34650,12630,72639,0.6651312759,0.802699966430664,0.100699996948242,0.116700000762939,0.0267000007629394,0.529255319149,0.655332302937,16760,42700
"63","Austin College","Sherman","TX",1279,"Private","South West",0.5532,25,22,22,53392,12301,66834,0.5053304904,0.795299987792968,0.0730999994277954,0.16079999923706,0.0352999997138977,0.603603603604,0.72268907563,17500,48200
"64","Austin Peay State University","Clarksville","TN",9064,"Public","South East",0.9378,22,19,19,21409,5870,72081,0.5990892892,0.759599990844726,0.176399993896484,0.0455999994277954,0.0141999995708465,0.247191011236,0.360531309298,12500,34900
"65","Ave Maria University","Ave Maria","FL",1070,"Private","South East",0.8295,24,21,21,34484,7898,68202,0.4839400428,0.850699996948242,0.0642999982833862,0.0825,0.0299000000953674,0.364130434783,0.413333333333,13683,32800
"66","Averett University","Danville","VA",943,"Private","South East",0.6061,19,16,16,45091,16063,54738,0.5265760198,0.700999984741211,0.25329999923706,0.0383999991416931,0.0149000000953674,0.393805309735,0.523206751055,17750,41800
"67","Avila University","Kansas City","MO",1191,"Private","Plains",0.5456,21,19,19,38040,13285,57834,0.6292749658,0.81620002746582,0.118900003433227,0.0505999994277954,0.0185000002384185,0.391025641026,0.522292993631,18010,44100
"68","Azusa Pacific University","Azusa","CA",5545,"Private","Far West",0.6851,24,21,21,51578,19919,82440,0.7258883249,0.684199981689453,0.0434000015258789,0.277800006866455,0.0848999977111816,0.493279569892,0.532236842105,18970,51100
"70","Baker University","Baldwin City","KS",1436,"Private","Plains",0.8765,23,20,20,44244,11993,56781,0.5992462312,0.867099990844726,0.0623999977111816,0.0523000001907348,0.0185000002384185,0.494845360825,0.612582781457,19500,51300
