"","Claim_Number","Year","Month","Day","Airline_Name","Airport_Code","Claim_Type","Claim_Site","Item","Claim_Amount","Status","Close_Amount"
"24222","2005080000000",2005,8,"07 00:00:00","American Airlines","MSP","Passenger Property Loss","Checked Baggage","Other",100,"Settled",50
"27375","2005110000000",2005,10,"09 00:00:00","UAL","IAD","Passenger Property Loss","Checked Baggage","Other",217.5,"Settled",108.75
"6742","2004080000000",2004,6,"02 00:00:00","Air France","JFK","Passenger Property Loss","Checked Baggage","Other",652.51,"Denied",0
"22693","2005070000000",2005,6,"28 00:00:00","American Airlines","SAN","Passenger Property Loss","Checked Baggage","Other",163.23,"Denied",0
"30680","2006010000000",2005,12,"30 00:00:00","Other","LAS","Passenger Property Loss","Checked Baggage","Jewelry - Fine",1027.37,"Denied",0
"162","0130165M",2004,1,"15 00:00:00","Southwest Airlines","PDX","Passenger Property Loss","Checked Baggage","Other",46,"Approved",46
"13837","2005010000000",2004,11,"08 00:00:00","Northwest Airlines","MSP","Passenger Property Loss","Checked Baggage","Other",344.65,"Denied",0
"28352","2005120000000",2005,10,"31 00:00:00","Continental Airlines","MYR","Passenger Property Loss","Checked Baggage","Other",98,"Denied",0
"17440","2005040000000",2005,3,"06 00:00:00","Northwest Airlines","TOL","Passenger Property Loss","Checked Baggage","Computer - Laptop",4000,"Denied",0
"5991","2004070000000",2004,5,"15 00:00:00","Lufthansa","ORD","Passenger Property Loss","Checked Baggage","Cosmetics - Perfume; toilet articles; medicines; soaps; etc.",50,"Settled",25
"5812","2004070000000",2004,5,"09 00:00:00","Southwest Airlines","SJC","Passenger Property Loss","Checked Baggage","Jewelry - Fine",2000,"Settled",1237.5
"26124","2005100000000",2005,9,"13 00:00:00","Jet Blue","JFK","Passenger Property Loss","Checked Baggage","Luggage (all types including footlockers)",300,"Settled",150
"24892","2005090000000",2005,8,"22 00:00:00","American Airlines","TUL","Property Damage","Checked Baggage","Luggage (all types including footlockers)",340,"Settled",50
"27003","2005100000000",2005,9,"27 00:00:00","Continental Airlines","SEA","Property Damage","Checked Baggage","Other",135,"Denied",0
"23821","2005080000000",2005,8,"03 00:00:00","Continental Airlines","EWR","Property Damage","Checked Baggage","Other",100,"Denied",0
"25897","2005100000000",2005,8,"25 00:00:00","Southwest Airlines","MCO","Property Damage","Checkpoint","Jewelry - Fine",80,"Approved",80
"3871","2004060000000",2004,4,"22 00:00:00","Hawaiian Airlines","KOA","Property Damage","Checked Baggage","Locks",204,"Settled",50
"9054","2004090000000",2004,8,"18 00:00:00","UAL","SJC","Passenger Property Loss","Checked Baggage","Other",6.83,"Approved",6.83
"22925","2005070000000",2005,6,"22 00:00:00","Spirit Airlines","ORD","Passenger Property Loss","Checkpoint","Cameras - Digital",700,"Denied",0
"24035","2005080000000",2005,6,"28 00:00:00","Northwest Airlines","ATL","Passenger Property Loss","Checked Baggage","Jewelry - Fine",159,"Denied",0
"18740","2005050000000",2005,3,"02 00:00:00","UAL","ABQ","Passenger Property Loss","Checked Baggage","Musical Instruments - Other - Over $250",116.76,"Denied",0
"22076","2005070000000",2005,6,"11 00:00:00","American Airlines","SAN","Passenger Property Loss","Checked Baggage","Cosmetics - Perfume; toilet articles; medicines; soaps; etc.",85,"Settled",42.5
"5443","2004070000000",2004,5,"23 00:00:00","UAL","LAX","Employee Loss (MPCECA)","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",75,"Approved",75
"26847","2005100000000",2005,10,"09 00:00:00","Delta Air Lines","JFK","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",250,"Denied",0
"30583","2006010000000",2005,12,"29 00:00:00","UAL","LGA","Passenger Property Loss","Checkpoint","Cameras - Digital",175,"Denied",0
"30239","2006010000000",2005,12,"02 00:00:00","American Airlines","SJU","Passenger Property Loss","Checked Baggage","Locks",20,"Settled",10
"18233","2005040000000",2005,4,"06 00:00:00","Other","EUG","Passenger Property Loss","Checked Baggage","Medicines",111,"Settled",56.5
"17937","2005040000000",2005,3,"20 00:00:00","Delta Air Lines","LAS","Passenger Property Loss","Checkpoint","Cameras - Digital",639.95,"Denied",0
"23644","2005080000000",2005,4,"18 00:00:00","Other","F","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",2524.56,"Denied",0
"22465","2005070000000",2005,6,"13 00:00:00","UAL","MKE","Property Damage","Checked Baggage","Other",409.95,"Denied",0
"1855","2004050000000",2004,3,"21 00:00:00","Jet Blue","JFK","Property Damage","Checked Baggage","Other",300,"Approved",300
"9084","2004090000000",2004,8,"18 00:00:00","Continental Airlines","PHX","Passenger Property Loss","Checked Baggage","Other",1240.95,"Denied",0
"27484","2005110000000",2005,10,"09 00:00:00","Delta (Song)","LAX","Passenger Property Loss","Checked Baggage","Cameras - Digital",300,"Denied",0
"5548","2004070000000",2004,4,"01 00:00:00","USAir","TXK","Passenger Property Loss","Checked Baggage","Cameras - Digital",605.48,"Settled",247
"9034","2004100000000",2004,8,"31 00:00:00","UAL","OAK","Passenger Property Loss","Checked Baggage","Cameras - Digital",569.06,"Settled",546.24
"13084","2005010000000",2004,12,"05 00:00:00","USAir","EWR","Property Damage","Checked Baggage","Luggage (all types including footlockers)",64.9,"Approved",64.9
"30981","2006010000000",2005,11,"19 00:00:00","Delta Air Lines","TUS","Passenger Property Loss","Checkpoint","Jewelry - Fine",1865,"Denied",0
"9461","2004100000000",2004,4,"09 00:00:00","Virgin Atlantic","LAX","Passenger Property Loss","Checked Baggage","Computer - Laptop",2100,"Denied",0
"1990","2004050000000",2004,3,"20 00:00:00","USAir","PHL","Passenger Property Loss","Checked Baggage","Other",58,"Approved",58
"9449","2004090000000",2004,8,"13 00:00:00","Delta Air Lines","DFW","Passenger Theft","Checked Baggage","Other",75,"Denied",0
"23886","2005080000000",2005,7,"10 00:00:00","Northwest Airlines","BOS","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",84,"Denied",0
"1727","2004050000000",2004,3,"15 00:00:00","Northwest Airlines","DTW","Property Damage","Checkpoint","Luggage (all types including footlockers)",150,"Denied",0
"7695","2004090000000",2004,6,"02 00:00:00","American Airlines","DEN","Passenger Property Loss","Checked Baggage","Eyeglasses - (including contact lenses)",178,"Settled",71.2
"27508","2005110000000",2005,6,"16 00:00:00","Delta Air Lines","JFK","Property Damage","Checked Baggage","Luggage (all types including footlockers)",480,"Denied",0
"15418","2005030000000",2004,12,"17 00:00:00","USAir","ORD","Property Damage","Checked Baggage","Other",37.99,"Approved",37.99
"25366","2005090000000",2005,8,"22 00:00:00","Horizon Air","OTH","Passenger Property Loss","Checked Baggage","Currency",1200,"Denied",0
"27555","2005110000000",2005,9,"22 00:00:00","Delta Air Lines","LWS","Property Damage","Checked Baggage","Other",247,"Denied",0
"9598","2004110000000",2004,9,"19 00:00:00","Delta Air Lines","RDU","Property Damage","Checked Baggage","Other",29.99,"Approved",29.99
"6906","2004090000000",2004,5,"23 00:00:00","American Airlines","SJU","Passenger Property Loss","Checked Baggage","Other",1077,"Denied",0
"26369","2005100000000",2005,8,"18 00:00:00","Delta Air Lines","MSN","Property Damage","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",184.04,"Denied",0
"13752","2005020000000",2005,1,"05 00:00:00","Delta Air Lines","SLC","Property Damage","Checked Baggage","Other",30,"Denied",0
"20295","2005060000000",2005,5,"19 00:00:00","AirTran Airlines","MDW","Passenger Property Loss","Checkpoint","Other",28.7,"Approved",28.7
"29420","2005120000000",2005,11,"29 00:00:00","Southwest Airlines","ISP","Passenger Property Loss","Checked Baggage","Locks",8,"Approved",8
"19003","2005050000000",2005,4,"08 00:00:00","American Airlines","DEN","Passenger Property Loss","Checked Baggage","DVD/CD Players",697.64,"Settled",349.45
"9885","2004110000000",2004,9,"30 00:00:00","American Eagle","XNA","Property Damage","Checkpoint","Other",90,"Approved",90
"3680","2004060000000",2004,3,"25 00:00:00","Southwest Airlines","MSY","Passenger Property Loss","Checked Baggage","Other",399,"Settled",199.5
"10264","2005020000000",2004,9,"25 00:00:00","Northwest Airlines","MSY","Passenger Property Loss","Checked Baggage","Other",30,"Denied",0
"14761","2005030000000",2005,1,"10 00:00:00","Delta Air Lines","JFK","Passenger Property Loss","Checked Baggage","Cameras - Digital",644.15,"Settled",322.08
"3420","2004050000000",2004,2,"12 00:00:00","UAL","IAH","Passenger Property Loss","Checked Baggage","Other",358,"Denied",0
"27958","2005110000000",2005,6,"09 00:00:00","Southwest Airlines","HOU","Property Damage","Checked Baggage","Other",75,"Denied",0
"5760","2004070000000",2004,6,"14 00:00:00","UAL","CAK","Passenger Property Loss","Checked Baggage","Locks",10,"Approved",10
"7140","2004080000000",2004,6,"25 00:00:00","Southwest Airlines","SAN","Property Damage","Checked Baggage","Luggage (all types including footlockers)",50,"Approved",50
"25911","2005100000000",2005,8,"31 00:00:00","Delta Air Lines","TUL","Passenger Property Loss","Checked Baggage","Other",685.32,"Denied",0
"21957","2005070000000",2004,12,"07 00:00:00","Delta (Song)","TPA","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",198.17,"Settled",123.88
"23021","2005070000000",2005,2,"13 00:00:00","Northwest Airlines","DTW","Property Damage","Checkpoint","Locks",110,"Denied",0
"22321","2005070000000",2005,5,"16 00:00:00","Continental Airlines","HNL","Passenger Property Loss","Checked Baggage","Computer - Laptop",3418.44,"Denied",0
"5936","2004070000000",2004,6,"10 00:00:00","UAL","MHT","Property Damage","Checked Baggage","Other",35,"Approved",35
"5396","2004070000000",2004,5,"18 00:00:00","UAL","LAX","Property Damage","Checkpoint","Clothing - Shoes; belts; accessories; etc.",60.12,"Approved",60.12
"22298","2005070000000",2005,6,"28 00:00:00","Other","LAX","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",261,"Denied",0
"8277","2004100000000",2004,8,"02 00:00:00","Delta Air Lines","ATL","Passenger Property Loss","Checkpoint","Other",1373.59,"Settled",549.44
"10337","2004110000000",2004,8,"25 00:00:00","USA 3000 (U5)","F","Passenger Property Loss","Checked Baggage","Cameras - Digital",200,"Denied",0
"12307","2005010000000",2004,11,"29 00:00:00","Northwest Airlines","FLL","Passenger Property Loss","Checked Baggage","Other",225,"Approved",225
"19480","2005050000000",2005,4,"17 00:00:00","Alaska Airlines","RDM","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",50,"Approved",50
"5421","2004070000000",2004,5,"18 00:00:00","Other","SRQ","Property Damage","Checked Baggage","Luggage (all types including footlockers)",10,"Approved",10
"31781","2006050000000",2005,12,"16 00:00:00","Southwest Airlines","BHM","Property Damage","Checkpoint","Eyeglasses - (including contact lenses)",160,"Approved",160
"24148","2005080000000",2005,5,"21 00:00:00","America West","PHX","Property Damage","Checked Baggage","Locks",397.24,"Denied",0
"28131","2005110000000",2005,10,"04 00:00:00","Delta Air Lines","IAD","Property Damage","Checkpoint","Computer - Laptop",917.65,"Approved",917.65
"29438","2005120000000",2005,12,"01 00:00:00","Delta (Song)","JFK","Passenger Property Loss","Checked Baggage","Cameras - Digital",279,"Denied",0
"231","0202386M",2004,1,"17 00:00:00","Southwest Airlines","PBI","Passenger Property Loss","Checked Baggage","Cosmetics - Perfume; toilet articles; medicines; soaps; etc.",245,"Approved",245
"19538","2005050000000",2005,2,"13 00:00:00","American Airlines","PHX","Passenger Property Loss","Checked Baggage","Other",111,"Approved",111
"20643","2005060000000",2005,5,"24 00:00:00","Delta Air Lines","SEA","Passenger Property Loss","Checked Baggage","Locks",15,"Approved",15
"8288","2004090000000",2004,8,"18 00:00:00","AirTran Airlines","MCO","Passenger Property Loss","Checked Baggage","Other",84.95,"Denied",0
"29536","2005120000000",2005,11,"30 00:00:00","American Airlines","LAX","Property Damage","Checkpoint","Other",100,"Approved",100
"11170","2004120000000",2004,10,"07 00:00:00","Northwest Airlines","BOS","Passenger Property Loss","Checked Baggage","Computer - Laptop",3070,"Denied",0
"8147","2004100000000",2004,8,"13 00:00:00","USAir","JAX","Property Damage","Checked Baggage","Cameras - Digital",165,"Approved",165
"9384","2004100000000",2004,8,"20 00:00:00","America West","JFK","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",4.28,"Approved",4.28
"31805","2006060000000",2005,5,"11 00:00:00","British Airways","MIA","Passenger Property Loss","Checked Baggage","Other",1073,"Denied",0
"11129","2004120000000",2004,8,"23 00:00:00","American Airlines","PHX","Property Damage","Checked Baggage","Other",26.94,"Approved",26.94
"30191","2006010000000",2005,7,"12 00:00:00","UAL","STL","Passenger Property Loss","Checked Baggage","Other",400,"Denied",0
"17487","2005040000000",2005,3,"11 00:00:00","Delta Air Lines","EWR","Passenger Property Loss","Checked Baggage","Cameras - Digital",478.97,"Denied",0
"18529","2005040000000",2005,4,"03 00:00:00","Southwest Airlines","SAN","Property Damage","Checked Baggage","Luggage (all types including footlockers)",150,"Denied",0
"28638","2005120000000",2005,10,"27 00:00:00","American Airlines","KOA","Passenger Property Loss","Checked Baggage","Locks",10,"Approved",10
"14290","2005020000000",2004,12,"30 00:00:00","Northwest Airlines","FAR","Property Damage","Checked Baggage","Other",193.23,"Approved",193.23
"7076","2004080000000",2004,7,"03 00:00:00","Air France","ORD","Passenger Property Loss","Checked Baggage","Cameras - Digital",580.37,"Approved",580.37
"6700","2004080000000",2004,5,"22 00:00:00","American Airlines","SAN","Property Damage","Checked Baggage","Medicines",49.76,"Approved",49.76
"19924","2005050000000",2005,4,"28 00:00:00","American Airlines","RSW","Property Damage","Checked Baggage","Medicines",140,"Approved",140
"27283","2005110000000",2005,9,"20 00:00:00","Spirit Airlines","DTW","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",314.8,"Denied",0
"9831","2004100000000",2004,9,"11 00:00:00","UAL","IAD","Property Damage","Checked Baggage","Locks",129.55,"Denied",0
"19227","2005050000000",2005,4,"04 00:00:00","American Airlines","ORD","Passenger Property Loss","Checked Baggage","Luggage (all types including footlockers)",19.95,"Approved",19.95
"8800","2004100000000",2004,8,"31 00:00:00","Northwest Airlines","TPA","Passenger Property Loss","Checked Baggage","Jewelry - Fine",125,"Approved",125
"11629","2004120000000",2004,9,"23 00:00:00","Continental Airlines","CLE","Passenger Property Loss","Checked Baggage","Jewelry - Fine",210,"Settled",105
"19025","2005050000000",2005,3,"23 00:00:00","American Airlines","LAX","Property Damage","Checked Baggage","Luggage (all types including footlockers)",181.09,"Denied",0
"5617","2004070000000",2004,3,"21 00:00:00","UAL","ALB","Property Damage","Checked Baggage","Luggage (all types including footlockers)",56.83,"Approved",56.83
"14899","2005030000000",2005,1,"27 00:00:00","Delta Air Lines","SMF","Passenger Property Loss","Checked Baggage","Other",1800,"Denied",0
"16585","2005030000000",2005,3,"14 00:00:00","America West","ELP","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",217.94,"Approved",217.94
"22796","2005070000000",2005,6,"22 00:00:00","USAir","PHL","Property Damage","Checked Baggage","Luggage (all types including footlockers)",15,"Approved",15
"22004","2005070000000",2005,6,"19 00:00:00","American Airlines","MIA","Property Damage","Checked Baggage","Luggage (all types including footlockers)",430,"Denied",0
"29065","2005120000000",2005,11,"28 00:00:00","Continental Airlines","BPT","Passenger Property Loss","Checked Baggage","Luggage (all types including footlockers)",7,"Approved",7
"21107","2005060000000",2005,4,"30 00:00:00","UAL","ORD","Property Damage","Checked Baggage","Luggage (all types including footlockers)",700,"Denied",0
"29329","2005120000000",2005,7,"28 00:00:00","ATA Aerocondor","DFW","Passenger Property Loss","Checked Baggage","Other",780,"Denied",0
"7467","2004090000000",2004,6,"30 00:00:00","USAir","PHL","Passenger Property Loss","Checked Baggage","Medicines",92.75,"Approved",92.75
"3030","2004060000000",2004,2,"22 00:00:00","Spirit Airlines","FLL","Passenger Property Loss","Checked Baggage","Other",1500,"Denied",0
"28867","2005120000000",2005,10,"01 00:00:00","Other","JFK","Property Damage","Checkpoint","Luggage (all types including footlockers)",232,"Approved",232
"2850","2004050000000",2004,3,"24 00:00:00","Southwest Airlines","ORD","Passenger Property Loss","Checkpoint","Other",275,"Settled",212.47
"2732","2004060000000",2004,3,"06 00:00:00","Southwest Airlines","LAX","Passenger Property Loss","Checkpoint","Computer - Laptop",1500,"Denied",0
"23442","2005080000000",2005,7,"08 00:00:00","Delta Air Lines","JFK","Passenger Property Loss","Checkpoint","Cell Phones",150,"Denied",0
"1264","0312039M",2004,2,"12 00:00:00","American Airlines","MSY","Passenger Property Loss","Checked Baggage","Other",182.22,"Approved",182.22
"31800","2006050000000",2005,9,"13 00:00:00","Alaska Airlines","PDX","Passenger Property Loss","Checked Baggage","Other",902.5,"Denied",0
"11786","2004120000000",2004,6,"06 00:00:00","Lufthansa","ORD","Property Damage","Checked Baggage","Luggage (all types including footlockers)",240,"Settled",50
"802","0226015M",2004,12,"31 00:00:00","American Airlines","LGA","Property Damage","Checked Baggage","Luggage (all types including footlockers)",169,"Settled",50
"8463","2004100000000",2004,8,"02 00:00:00","Delta Air Lines","ATL","Passenger Property Loss","Checked Baggage","Other",900,"Denied",0
"14700","2005030000000",2005,12,"27 00:00:00","Continental Airlines","TUS","Property Damage","Checked Baggage","Luggage (all types including footlockers)",300,"Denied",0
"1960","2004050000000",2004,1,"14 00:00:00","USAir","PBI","Property Damage","Checked Baggage","Locks",20,"Approved",20
"28177","2005110000000",2005,10,"02 00:00:00","Delta Air Lines","SLC","Passenger Property Loss","Checked Baggage","Other",390,"Denied",0
"10476","2004120000000",2004,9,"15 00:00:00","Northwest Airlines","BGM","Property Damage","Checkpoint","Luggage (all types including footlockers)",50,"Approved",50
"6904","2004090000000",2004,4,"19 00:00:00","Alaska Airlines","PDX","Passenger Property Loss","Checked Baggage","Jewelry - Fine",350,"Denied",0
"29444","2005120000000",2005,12,"01 00:00:00","American Airlines","EWR","Passenger Property Loss","Checked Baggage","Other",262.49,"Denied",0
"1552","2004050000000",2004,2,"19 00:00:00","Delta Air Lines","MIA","Passenger Property Loss","Checked Baggage","Other",900,"Denied",0
"1982","2004050000000",2004,1,"04 00:00:00","Southwest Airlines","FLL","Property Damage","Checked Baggage","Luggage (all types including footlockers)",60,"Approved",60
"11926","2004120000000",2004,10,"21 00:00:00","Northwest Airlines","DCA","Passenger Property Loss","Checked Baggage","Other",499,"Denied",0
"28529","2005120000000",2005,10,"27 00:00:00","Delta Air Lines","ATL","Passenger Property Loss","Checked Baggage","Jewelry - Fine",5500,"Denied",0
"29811","2006010000000",2005,12,"21 00:00:00","American Eagle","SAN","Passenger Property Loss","Checked Baggage","Stereo Items & Accessories",1000,"Denied",0
"15683","2005030000000",2004,12,"28 00:00:00","Northwest Airlines","COS","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",18.89,"Denied",0
"31643","2006030000000",2005,12,"29 00:00:00","American Airlines","JFK","Property Damage","Checkpoint","Cameras - Digital",592,"Settled",488.34
"1840","2004050000000",2004,3,"09 00:00:00","Delta Air Lines","BWI","Passenger Property Loss","Checked Baggage","Other",27,"Approved",27
"13681","2005020000000",2004,12,"28 00:00:00","Southwest Airlines","SAN","Passenger Property Loss","Checked Baggage","Locks",6.47,"Approved",6.47
"21781","2005070000000",2005,6,"11 00:00:00","Continental Airlines","ABQ","Passenger Property Loss","Checked Baggage","Other",30,"Denied",0
"13434","2005020000000",2004,12,"26 00:00:00","Alaska Airlines","SEA","Property Damage","Checked Baggage","Other",350,"Denied",0
"4871","2004060000000",2004,4,"23 00:00:00","USAir","PIT","Property Damage","Checked Baggage","Luggage (all types including footlockers)",45.35,"Approved",43.35
"31229","2006020000000",2005,11,"14 00:00:00","USA 3000 (U5)","RSW","Passenger Property Loss","Checked Baggage","Locks",20,"Approved",20
"1121","0311100M",2004,2,"23 00:00:00","Delta Air Lines","SAT","Property Damage","Checked Baggage","Locks",10,"Approved",10
"28204","2005110000000",2005,10,"27 00:00:00","Southwest Airlines","ISP","Passenger Property Loss","Checked Baggage","Medicines",1500,"Denied",0
"25006","2005090000000",2005,7,"20 00:00:00","Horizon Air","SEA","Passenger Property Loss","Checked Baggage","Medicines",377.89,"Approved",377.89
"17196","2005040000000",2004,11,"27 00:00:00","Continental Airlines","EWR","Passenger Property Loss","Checked Baggage","Jewelry - Fine",1773,"Denied",0
"14718","2005030000000",2004,12,"21 00:00:00","Independence Air","IND","Passenger Property Loss","Checked Baggage","DVD/CD Players",556.34,"Denied",0
"24353","2005080000000",2005,5,"24 00:00:00","Delta (Song)","JFK","Passenger Property Loss","Checkpoint","Currency",175,"Denied",0
"22342","2005070000000",2005,7,"07 00:00:00","USAir","FLL","Passenger Property Loss","Checkpoint","Currency",25,"Denied",0
"13192","2005010000000",2004,12,"13 00:00:00","Northwest Airlines","MSP","Property Damage","Checked Baggage","Luggage (all types including footlockers)",100,"Denied",0
"21098","2005060000000",2005,5,"24 00:00:00","Delta Air Lines","HLN","Property Damage","Checked Baggage","Stereo Items & Accessories",149.99,"Denied",0
"4652","2004060000000",2004,4,"25 00:00:00","Southwest Airlines","ALB","Passenger Property Loss","Checkpoint","Eyeglasses - (including contact lenses)",330,"Settled",175
"7931","2004090000000",2004,7,"01 00:00:00","UAL","EWR","Passenger Property Loss","Checked Baggage","Cameras - Digital",279.98,"Settled",247.29
"10144","2004120000000",2004,8,"28 00:00:00","UAL","ORD","Passenger Property Loss","Checked Baggage","Other",85,"Approved",85
"22733","2005070000000",2005,7,"06 00:00:00","Other","EWR","Passenger Property Loss","Checked Baggage","Other",195,"Denied",0
"26226","2005100000000",2005,9,"20 00:00:00","American Airlines","JFK","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",900,"Denied",0
"27269","2005100000000",2005,9,"20 00:00:00","Northwest Airlines","SMF","Passenger Property Loss","Checked Baggage","Other",18.77,"Denied",0
"21378","2005060000000",2005,4,"04 00:00:00","American Airlines","XNA","Property Damage","Checked Baggage","Other",250,"Denied",0
"16389","2005030000000",2005,3,"06 00:00:00","UAL","MCO","Property Damage","Checked Baggage","Luggage (all types including footlockers)",140,"Denied",0
"31625","2006030000000",2005,12,"27 00:00:00","Delta Air Lines","EVV","Passenger Property Loss","Checked Baggage","Jewelry - Fine",60.09,"Approved",60.09
"20291","2005070000000",2005,5,"09 00:00:00","Jet Blue","JFK","Property Damage","Checkpoint","Other",100,"Settled",50
"20459","2005060000000",2005,3,"23 00:00:00","American West","PHX","Passenger Property Loss","Checked Baggage","Other",60,"Approved",60
"30636","2006010000000",2005,12,"27 00:00:00","UAL","ORD","Passenger Property Loss","Checked Baggage","Other",10,"Denied",0
"32022","2007070000000",2005,8,"14 00:00:00","Continental Airlines","PHX","Property Damage","Checked Baggage","Other",149.05,"Denied",0
"1844","2004050000000",2004,3,"15 00:00:00","Northwest Airlines","LAX","Property Damage","Checked Baggage","Luggage (all types including footlockers)",20,"Approved",20
"9045","2004100000000",2004,8,"14 00:00:00","Continental Airlines","DTW","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",419.98,"Settled",209.99
"27111","2005100000000",2005,10,"13 00:00:00","American Airlines","LGA","Passenger Property Loss","Checked Baggage","Jewelry - Fine",200,"Denied",0
"24334","2005080000000",2005,8,"12 00:00:00","Southwest Airlines","LAX","Passenger Property Loss","Checked Baggage","Other",480,"Denied",0
"28238","2005110000000",2005,10,"30 00:00:00","USA 3000 (U5)","PIE","Passenger Property Loss","Checked Baggage","Other",109.63,"Settled",55
"16021","2005030000000",2005,2,"13 00:00:00","USAir","CHS","Property Damage","Checkpoint","Clothing - Shoes; belts; accessories; etc.",35,"Approved",35
"21288","2005060000000",2005,5,"20 00:00:00","Southwest Airlines","SJC","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",221.4,"Settled",56.5
"10357","2004120000000",2004,9,"16 00:00:00","American Airlines","MIA","Property Damage","Checked Baggage","Luggage (all types including footlockers)",324.98,"Denied",0
"11421","2004120000000",2004,10,"31 00:00:00","Air Canada","LAX","Passenger Property Loss","Checked Baggage","Computer - Laptop",2000,"Denied",0
"16206","2005030000000",2005,3,"03 00:00:00","American Airlines","ORD","Property Damage","Checked Baggage","Luggage (all types including footlockers)",42,"Approved",42
"5392","2004070000000",2004,5,"07 00:00:00","Continental Airlines","EWR","Passenger Property Loss","Checked Baggage","Cosmetics - Perfume; toilet articles; medicines; soaps; etc.",325,"Settled",175
"417","0210321M",2004,1,"29 00:00:00","Spirit Airlines","MYR","Passenger Property Loss","Checkpoint","Cell Phones",100,"Denied",100
"28700","2005120000000",2005,11,"19 00:00:00","Delta Air Lines","BOI","Passenger Property Loss","Checked Baggage","Eyeglasses - (including contact lenses)",325,"Denied",0
"13141","2005010000000",2004,11,"30 00:00:00","UAL","ONT","Property Damage","Checked Baggage","Other",25,"Approved",25
"19466","2005050000000",2005,3,"21 00:00:00","Northwest Airlines","MSP","Property Damage","Checkpoint","Computer - Laptop",442.75,"Settled",221.38
"31185","2006020000000",2005,12,"13 00:00:00","Southwest Airlines","GEG","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",116.5,"Denied",0
"23016","2005070000000",2005,7,"12 00:00:00","Southwest Airlines","BNA","Passenger Property Loss","Checked Baggage","Cosmetics - Perfume; toilet articles; medicines; soaps; etc.",164.03,"Denied",0
"4826","2004060000000",2004,4,"06 00:00:00","Southwest Airlines","ALB","Passenger Property Loss","Checkpoint","Currency",276,"Denied",0
"16457","2005030000000",2005,2,"27 00:00:00","Delta Air Lines","TUS","Property Damage","Checked Baggage","Other",143,"Approved",143
"24502","2005090000000",2004,5,"25 00:00:00","Frontier Airlines","LAX","Property Damage","Checkpoint","Other",86.4,"Approved",86.4
"28132","2005110000000",2004,10,"28 00:00:00","Other","GRB","Property Damage","Checked Baggage","Luggage (all types including footlockers)",50,"Approved",50
"14610","2005030000000",2005,1,"04 00:00:00","Northwest Airlines","OKC","Passenger Property Loss","Checked Baggage","Other",120,"Approved",120
"25532","2005090000000",2005,8,"27 00:00:00","Continental Airlines","ONT","Passenger Property Loss","Checkpoint","Jewelry - Fine",7000,"Denied",0
"25364","2005090000000",2005,8,"28 00:00:00","Delta Air Lines","OGG","Property Damage","Checked Baggage","Other",750,"Denied",0
"30002","2006010000000",2005,10,"13 00:00:00","Southwest Airlines","LAX","Passenger Property Loss","Checked Baggage","Cameras - Digital",141.3,"Approved",141.3
"3024","2004060000000",2004,4,"04 00:00:00","American Airlines","ORD","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",457.5,"Denied",0
"14076","2005020000000",2004,11,"14 00:00:00","Spirit Airlines","FLL","Passenger Property Loss","Checked Baggage","Jewelry - Fine",13905.7,"Denied",0
"5527","2004070000000",2004,4,"16 00:00:00","USAir","HNL","Passenger Property Loss","Checked Baggage","Stereo Items & Accessories",928.46,"Settled",321.49
"27533","2005110000000",2005,10,"20 00:00:00","Frontier Airlines","DEN","Property Damage","Checkpoint","Other",81.59,"Approved",81.59
"8668","2004100000000",2004,8,"25 00:00:00","Jet Blue","SMF","Passenger Property Loss","Checked Baggage","Other",40,"Approved",40
"7332","2004090000000",2004,7,"11 00:00:00","Spirit Airlines","ACY","Passenger Property Loss","Checked Baggage","Other",26,"Approved",26
"26039","2005100000000",2005,9,"11 00:00:00","American Airlines","DFW","Property Damage","Checked Baggage","Other",33.87,"Approved",33.87
"3785","2004060000000",2004,4,"20 00:00:00","American Airlines","ORD","Property Damage","Checked Baggage","Other",284,"Approved",284
"92","0120103M",2004,1,"04 00:00:00","Spirit Airlines","LGA","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",2319.98,"Denied",0
