"","Claim_Number","Year","Month","Day","Airline_Name","Airport_Code","Claim_Type","Claim_Site","Item","Claim_Amount","Status","Close_Amount"
"8649","2004100000000",2004,8,"21 00:00:00","Continental Airlines","PHX","Passenger Property Loss","Checked Baggage","Other",72.5,"Approved",72.5
"892","0305467M",2004,1,"11 00:00:00","Northwest Airlines","BOS","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",126.5,"Approved",126.5
"18161","2005040000000",2005,4,"09 00:00:00","USAir","AGS","Passenger Property Loss","Checkpoint","Jewelry - Fine",90.95,"Denied",0
"1699","2004050000000",2004,2,"19 00:00:00","American Airlines","LGA","Passenger Property Loss","Checked Baggage","Cameras - Digital",605,"Denied",0
"5064","2004060000000",2004,2,"06 00:00:00","America West","PHX","Property Damage","Checked Baggage","Locks",90,"Denied",0
"10730","2004120000000",2004,7,"20 00:00:00","Lufthansa","LAX","Passenger Property Loss","Checked Baggage","Medicines",125.63,"Denied",0
"686","0223226M",2004,2,"06 00:00:00","USAir","ORD","Property Damage","Checked Baggage","Luggage (all types including footlockers)",110,"Settled",55
"30593","2006010000000",2005,12,"12 00:00:00","Southwest Airlines","LAS","Passenger Property Loss","Checked Baggage","Other",2900,"Denied",0
"6723","2004080000000",2004,7,"11 00:00:00","American Airlines","MIA","Employee Loss (MPCECA)","Checked Baggage","Other",500,"Denied",0
"25483","2005090000000",2005,8,"25 00:00:00","British Airways","PHX","Passenger Property Loss","Checked Baggage","Other",272.94,"Settled",136.47
"17577","2005040000000",2005,3,"06 00:00:00","Northwest Airlines","MSP","Property Damage","Checked Baggage","Locks",40,"Denied",0
"25726","2005100000000",2005,9,"06 00:00:00","Northwest Airlines","DLH","Passenger Property Loss","Checked Baggage","Locks",10,"Approved",10
"6971","2004080000000",2004,5,"19 00:00:00","American Airlines","TUL","Passenger Property Loss","Checked Baggage","Other",160,"Denied",0
"5680","2004070000000",2004,5,"25 00:00:00","American Airlines","MIA","Passenger Property Loss","Checked Baggage","Currency",700,"Denied",0
"21679","2005060000000",2005,6,"18 00:00:00","Alaska Airlines","ONT","Passenger Property Loss","Checked Baggage","Stereo Items & Accessories",1059.58,"Denied",0
"10947","2004120000000",2004,10,"14 00:00:00","Southwest Airlines","AUS","Passenger Property Loss","Checked Baggage","Other",317.32,"Settled",135
"27636","2005110000000",2005,10,"24 00:00:00","Continental Airlines","PHX","Property Damage","Checked Baggage","Other",53,"Denied",0
"9578","2004110000000",2004,8,"28 00:00:00","American Airlines","JFK","Property Damage","Checked Baggage","Luggage (all types including footlockers)",86,"Approved",86
"10686","2004120000000",2004,9,"12 00:00:00","USAir","ATL","Passenger Property Loss","Checked Baggage","Cameras - Digital",100,"Denied",0
"2077","2004050000000",2004,3,"08 00:00:00","American Airlines","DSM","Property Damage","Checked Baggage","Cosmetics - Perfume; toilet articles; medicines; soaps; etc.",91.96,"Settled",46
"15654","2005030000000",2005,12,"06 00:00:00","Delta Air Lines","SWF","Passenger Property Loss","Checked Baggage","Cosmetics - Perfume; toilet articles; medicines; soaps; etc.",70.3,"Approved",70.3
"30501","2006010000000",2005,5,"30 00:00:00","Delta Air Lines","MCO","Property Damage","Checked Baggage","Luggage (all types including footlockers)",186.9,"Denied",0
"5529","2004070000000",2004,3,"06 00:00:00","UAL","RIC","Property Damage","Checked Baggage","Luggage (all types including footlockers)",47.77,"Settled",24
"20969","2005060000000",2005,5,"03 00:00:00","Delta Air Lines","RSW","Passenger Property Loss","Checked Baggage","Locks",10,"Approved",10
"25332","2005090000000",2005,7,"16 00:00:00","Northwest Airlines","ORF","Passenger Property Loss","Checked Baggage","Jewelry - Fine",160,"Denied",0
"28253","2005110000000",2005,11,"07 00:00:00","American Airlines","ORD","Property Damage","Checked Baggage","Luggage (all types including footlockers)",250,"Settled",125
"22880","2005070000000",2005,7,"10 00:00:00","UAL","EWR","Property Damage","Checked Baggage","Luggage (all types including footlockers)",80,"Settled",40
"17122","2005040000000",2005,2,"23 00:00:00","USAir","TPA","Property Damage","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",487.92,"Settled",12.67
"2896","2004060000000",2004,2,"11 00:00:00","American Airlines","FLL","Property Damage","Checked Baggage","Other",60,"Settled",30
"28736","2005120000000",2005,7,"29 00:00:00","Southwest Airlines","TPA","Passenger Property Loss","Checked Baggage","Other",315.26,"Settled",252.81
"31166","2006020000000",2005,1,"14 00:00:00","America West","SJC","Passenger Property Loss","Checked Baggage","Luggage (all types including footlockers)",213,"Settled",154.29
"21656","2005070000000",2005,4,"11 00:00:00","Southwest Airlines","PHX","Passenger Property Loss","Checked Baggage","Other",139.13,"Approved",139.13
"26290","2005100000000",2005,9,"18 00:00:00","Delta Air Lines","MCO","Property Damage","Checked Baggage","Luggage (all types including footlockers)",100,"Settled",50
"31846","2006060000000",2005,8,"16 00:00:00","American Airlines","EVV","Personal Injury","Other","Other",3439.24,"Approved",3439.24
"5689","2004070000000",2004,5,"26 00:00:00","Alaska Airlines","ANC","Passenger Property Loss","Checked Baggage","Cameras - Digital",633,"Settled",316.5
"16176","2005030000000",2005,2,"24 00:00:00","American Airlines","MIA","Passenger Property Loss","Checked Baggage","Other",148,"Settled",74
"24498","2005080000000",2005,8,"20 00:00:00","UAL","HNL","Property Damage","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",50,"Approved",50
"22974","2005070000000",2005,5,"17 00:00:00","USAir","CLE","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",55,"Approved",55
"7033","2004080000000",2004,7,"07 00:00:00","Spirit Airlines","MYR","Passenger Property Loss","Checked Baggage","Cameras - Digital",499,"Denied",0
"30910","2006010000000",2005,12,"09 00:00:00","America West","LAX","Property Damage","Checkpoint","Computer - Laptop",454,"Settled",400.37
"31500","2006030000000",2005,10,"08 00:00:00","American Airlines","MIA","Passenger Property Loss","Checkpoint","Jewelry - Fine",200,"Approved",200
"11444","2005030000000",2004,10,"12 00:00:00","Southwest Airlines","LAX","Passenger Property Loss","Checked Baggage","Other",85,"Denied",0
"8350","2004090000000",2004,8,"14 00:00:00","Continental Airlines","LAX","Passenger Property Loss","Checked Baggage","Jewelry - Fine",68.08,"Settled",34.04
"20530","2005060000000",2005,5,"20 00:00:00","American Airlines","LGA","Passenger Property Loss","Checked Baggage","Eyeglasses - (including contact lenses)",345.95,"Denied",0
"24947","2005090000000",2005,7,"25 00:00:00","Jet Blue","JFK","Passenger Property Loss","Checked Baggage","Computer - Laptop",1500,"Denied",0
"1860","2004050000000",2004,3,"12 00:00:00","AirTran Airlines","BWI","Passenger Property Loss","Checkpoint","Clothing - Shoes; belts; accessories; etc.",55,"Approved",55
"9997","2004110000000",2004,9,"09 00:00:00","Jet Blue","OAK","Property Damage","Checked Baggage","Luggage (all types including footlockers)",40,"Approved",40
"9194","2004100000000",2004,8,"28 00:00:00","Frontier Airlines","IAD","Property Damage","Checked Baggage","Other",1374.61,"Denied",0
"24154","2005080000000",2005,6,"12 00:00:00","Continental Airlines","SNA","Passenger Property Loss","Checked Baggage","Other",34.68,"Denied",0
"11836","2004120000000",2004,11,"14 00:00:00","America West","OAK","Passenger Property Loss","Checked Baggage","PDA - Personal Data Assistants",300,"Settled",264.18
"8940","2004090000000",2004,8,"10 00:00:00","American Airlines","DEN","Passenger Property Loss","Checked Baggage","Other",39.33,"Approved",39.33
"7580","2004090000000",2004,7,"15 00:00:00","UAL","SMF","Passenger Property Loss","Checked Baggage","Cameras - Digital",915.9,"Settled",160.43
"17881","2005040000000",2005,3,"27 00:00:00","British Airways","MIA","Property Damage","Checked Baggage","Luggage (all types including footlockers)",311,"Settled",50
"22673","2005070000000",2005,6,"24 00:00:00","UAL","ORD","Property Damage","Checked Baggage","Other",200,"Denied",0
"12472","2005010000000",2004,9,"29 00:00:00","UAL","ORD","Property Damage","Checked Baggage","Other",800,"Denied",0
"25304","2005090000000",2005,9,"04 00:00:00","Alaska Airlines","SEA","Passenger Property Loss","Checkpoint","Locks",10.69,"Approved",10.69
"23179","2005080000000",2005,7,"03 00:00:00","Alaska Airlines","LAX","Passenger Property Loss","Checked Baggage","Cameras - Digital",216.03,"Settled",100
"7216","2004080000000",2004,7,"22 00:00:00","Delta Air Lines","ATL","Passenger Theft","Checked Baggage","Jewelry - Fine",40,"Settled",20
"2518","2004050000000",2004,11,"28 00:00:00","UAL","TUS","Passenger Property Loss","Checkpoint","Jewelry - Fine",105,"Denied",0
"26825","2005100000000",2005,10,"12 00:00:00","Delta Air Lines","IAD","Passenger Property Loss","Checked Baggage","Locks",10,"Approved",10
"31115","2006020000000",2005,12,"23 00:00:00","Air Canada","PHL","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",1371.5,"Denied",0
"8491","2004100000000",2004,8,"15 00:00:00","Northwest Airlines","CLE","Passenger Property Loss","Checked Baggage","DVD/CD Players",550,"Settled",275
