"Subject","Straight","Oscillating"
"S01",24,15
"S02",19.5,6.6
"S03",8.2,1.9
"S04",8.5,1.5
"S05",12.1,1.1
"S06",8,2.5
"S07",8.2,0.6
"S08",10.1,0.5
"S09",5.5,0.5
"S10",10.1,3.1
"S11",7.2,2.1
"S12",5.6,1.6
