Analyze,Reduced,Ignore,Discard,DaqPath,DaqName,Date
,X,,,Control\C_023_POST,4_RuralRedLight_20190315151432.daq,3/18/2019 23:34
,X,,,Control\C_024__PRE,1_RuralRedLight_20190318095037.daq,3/18/2019 23:46
,X,,,Control\C_025__PRE,1_RuralRedLight_20190318142547.daq,3/18/2019 23:56
,X,,,Frequent\F_015__PRE,4_RuralRedLight_20190321152711.daq,3/21/2019 23:19
,X,,,Occasional\O_009__PRE,4_RuralRedLight_20190402153547.daq,4/2/2019 23:20
,X,,,Control\C_026__PRE,2_RuralRedLight_20190403091725.daq,4/8/2019 23:18
,X,,,Frequent\F_016_POST,4_RuralRedLight_20190408113647.daq,4/8/2019 23:25
,X,,,Occasional\O_010_POST,3_RuralRedLight_20190406124305.daq,4/8/2019 23:45
,X,,,Control\C_027_POST,4_RuralRedLight_20190409152317.daq,4/11/2019 23:15
,X,,,Frequent\F_017_POST,4_RuralRedLight_20190410144454.daq,4/11/2019 23:26
,X,,,Frequent\F_018_POST,2_RuralRedLight_20190411172453.daq,4/11/2019 23:33
,X,,,Occasional\O_011_POST,2_RuralRedLight_20190412154403.daq,4/16/2019 23:26
,X,,,Occasional\O_012_POST,2_RuralRedLight_20190415112324.daq,4/16/2019 23:35
,X,,,Occasional\O_013__PRE,3_RuralRedLight_20190416093021.daq,4/16/2019 23:53
,X,,,Occasional\O_014__PRE,2_RuralRedLight_20190416131649.daq,4/17/2019 0:02
,X,,,Occasional\O_015__PRE,1_RuralRedLight_20190418110045.daq,4/19/2019 23:20
,X,,,Occasional\O_016__PRE,2_RuralRedLight_20190418150724.daq,4/19/2019 23:31
,X,,,Occasional\O_017_POST,2_RuralRedLight_20190419165051.daq,4/19/2019 23:35
,X,,,Frequent\F_019_POST,1_RuralRedLight_20190430114012.daq,4/30/2019 23:14
,X,,,Occasional\O_018__PRE,4_RuralRedLight_20190423134315.daq,5/1/2019 0:27
,X,,,Occasional\O_019_POST,2_RuralRedLight_20190427125649.daq,5/1/2019 0:30
,X,,,Control\C_028__PRE,2_RuralRedLight_20190507131713.daq,5/16/2019 23:21
,X,,,Control\C_029_POST,2_RuralRedLight_20190509110420.daq,5/16/2019 23:25
,X,,,Frequent\F_020__PRE,2_RuralRedLight_20190510153204.daq,5/16/2019 23:41
,X,,,Occasional\O_020_POST,2_RuralRedLight_20190516170201.daq,5/16/2019 23:45
,X,,,Frequent\F_021_POST,4_RuralRedLight_20190517165106.daq,5/17/2019 23:19
,X,,,Frequent\F_022__PRE,1_RuralRedLight_20190523140502.daq,5/27/2019 23:22
,X,,,Frequent\F_023_POST,4_RuralRedLight_20190524170411.daq,5/27/2019 23:30
,X,,,Frequent\F_024__PRE,1_RuralRedLight_20190527091943.daq,5/27/2019 23:41
