HPI_rank,Country,Country_Code,Region,Population,Life_Expectancy,Wellbeing_Score,Carbon_Footprint,HPI_Score,GDP_per_capita
128,Hong Kong,HKG,8,7494.6,85.5,5.32,23.5,26.3,60037
129,Turkmenistan,TKM,7,6341.9,69.3,5.45,14.23,25.6,
130,Congo (Kinshasa),COD,5,95894.1,59.2,3.8,0.57,24.9,1074
131,Trinidad and Tobago,TTO,1,1525.7,73,6.2,21.81,24.9,23037
132,Luxembourg,LUX,3,639.3,82.6,7.06,34.91,24.6,115683
133,Sierra Leone,SLE,5,8420.6,60.1,3.71,0.89,24.6,1615
134,Kuwait,KWT,4,4250.1,78.7,6.17,28.84,23.2,45652
135,Mali,MLI,5,21905,58.9,4.11,3.76,22.2,2121
136,Namibia,NAM,5,2530.2,59.3,4.49,6.22,21.8,9209
137,Nigeria,NGA,5,213401.3,52.7,4.48,1.55,21.6,4923
138,Mongolia,MNG,8,3347.8,71,5.72,24.67,20.4,11668
139,Zimbabwe,ZWE,5,15993.5,59.3,3.15,0.82,19.7,2115
140,Lebanon,LBN,4,5592.6,75,2.18,4.91,19.2,12987
141,Zambia,ZMB,5,19473.1,61.2,3.08,2.23,19.1,3237
142,Qatar,QAT,4,2688.2,79.3,6.5,42.2,18.8,92863
143,Chad,TCD,5,17179.7,52.5,4.4,3.88,18.3,1425
144,Afghanistan,AFG,6,40099.5,62,2.44,1.14,16.2,1517
145,Lesotho,LSO,5,2281.5,53.1,3.7,3.04,15.6,2293
146,Botswana,BWA,5,2588.4,61.1,3.5,10.28,14.7,14907
147,Central African Republic,CAF,5,5457.2,53.9,3.1,1.83,13.7,838
