"Name","City","State","Enrollment","Private","Region","Adm_Rate","ACT_median","ACT_Q1","ACT_Q3","Cost","Net_Tuition","Avg_Fac_Salary","PercentFemale","PercentWhite","PercentBlack","PercentHispanic","PercentAsian","FourYearComp_Males","FourYearComp_Females","Debt_median","Salary10yr_median"
"Quinnipiac University","Hamden","CT",7371,"Private","New England",0.7247,26,23,23,63157,28477,99711,0.6232081911,0.878000030517578,0.0475,0.0573999977111816,0.0345000004768371,0.702247191011,0.767441860465,20875,63300
"Radford University","Radford","VA",7880,"Public","South East",0.7458,NA,NA,NA,23125,6826,74997,0.5950139914,0.830199966430664,0.11539999961853,0.0296000003814697,0.025,0.564755838641,0.624420401855,16000,43000
"Radford University-Carilion","Roanoke","VA",774,"Private","South East",0.2995,19,17,17,40764,19905,62145,0.8309859155,0.841999969482422,0.126499996185302,0.0169000005722045,0.010900000333786,0.625,0.586956521739,18250,54000
"Ramapo College of New Jersey","Mahwah","NJ",5262,"Public","Mid East",0.6289,24,21,21,27907,10021,94563,0.5596590909,0.805800018310547,0.0748999977111816,0.105100002288818,0.0580000019073486,0.59266802444,0.70303030303,18750,53200
"Randolph-Macon College","Ashland","VA",1478,"Private","South East",0.6711,24,20,20,53515,17641,75078,0.546191248,0.783899993896484,0.158000001907348,0.0314000010490417,0.0274000000953674,0.604790419162,0.691891891892,23250,49100
"Randolph College","Lynchburg","VA",587,"Private","South East",0.8668,22,18,18,54270,12963,75474,0.7146892655,0.778300018310547,0.141099996566772,0.0632999992370605,0.0279999995231628,0.478873239437,0.535353535354,17500,39700
"Rasmussen College-Florida","Ocala","FL",8740,"Private","South East",NA,NA,NA,NA,23123,12148,56907,0.814446146,0.877900009155273,0.0784000015258789,0.0596000003814697,0.0089999997615814,0.259009009009,0.373219373219,10923,32600
"Reed College","Portland","OR",1456,"Private","Far West",0.3503,32,30,30,69734,33701,96408,0.5760869565,0.800599975585937,0.0603000020980835,0.0902999973297119,0.0580999994277954,0.766233766234,0.752688172043,11298,42200
"Regent University","Virginia Beach","VA",4161,"Private","South East",0.8167,22,19,19,29366,12605,73575,0.653869969,0.681600036621093,0.232900009155273,0.0565000009536743,0.0327999997138977,0.429166666667,0.411311053985,9500,41600
"Regis College","Weston","MA",1395,"Private","New England",0.7753,NA,NA,NA,56683,18368,73269,0.7896341463,0.728300018310547,0.14579999923706,0.0851000022888183,0.0455000019073486,0.492957746479,0.575510204082,24125,47500
"Regis University","Denver","CO",3926,"Private","Rocky Mountains",0.6029,24,21,21,48280,15755,65655,0.6412294648,0.822399978637695,0.0507999992370605,0.135200004577636,0.0319000005722045,0.404661016949,0.577514792899,19241,56400
"Reinhardt University","Waleska","GA",1425,"Private","South East",0.898,21,18,18,36125,12417,55341,0.4279176201,0.856900024414062,0.0836999988555908,0.06,0.0162000000476837,0.182692307692,0.204301075269,11000,36600
"Rensselaer Polytechnic Institute","Troy","NY",6590,"Private","Mid East",0.4299,31,29,29,70132,27840,112986,0.3442307692,0.858000030517578,0.0596000003814697,0.0669999980926513,0.0358999991416931,0.805359661495,0.823529411765,23250,82000
"Resurrection University","Chicago","IL",734,"Private","Great Lakes",NA,NA,NA,NA,NA,22437,69516,0.8079096045,0.628800010681152,0.191100006103515,0.202700004577636,0.0515999984741211,NA,NA,25000,71100
"Rhode Island College","Providence","RI",6480,"Public","New England",0.7346,18,16,16,16619,6657,73071,0.685519692,0.858199996948242,0.0446000003814697,0.0794000005722046,0.0210999989509582,0.428846153846,0.44128440367,14477,41400
"Rhode Island School of Design","Providence","RI",1994,"Private","New England",0.2387,29,26,26,67556,40914,95031,0.6612149533,0.809000015258789,0.0759000015258789,0.0888000011444091,0.0573000001907348,0.838709677419,0.820143884892,25000,51100
"Rhodes College","Memphis","TN",1985,"Private","South East",0.4455,30,28,28,61236,18944,76419,0.5427435388,0.785899963378906,0.153400001525878,0.0530000019073486,0.0240000009536743,0.75,0.833333333333,19500,53600
"Rice University","Houston","TX",3962,"Private","South West",0.1113,34,33,33,63158,23358,143865,0.4518167457,0.747600021362304,0.107200002670288,0.170699996948242,0.0542000007629394,0.852040816327,0.917525773196,10250,65400
"Rider University","Lawrenceville","NJ",3830,"Private","Mid East",0.6967,23,20,20,57672,21510,99711,0.5977900552,0.803000030517578,0.103199996948242,0.0646999979019165,0.0492000007629394,0.561611374408,0.6608,20500,50600
"Ringling College of Art and Design","Sarasota","FL",1559,"Private","South East",0.6691,NA,NA,NA,64554,36642,77022,0.6837121212,0.850199966430664,0.0828999996185302,0.0938000011444091,0.0228999996185302,0.733333333333,0.7,26000,33200
