"","date","age","team","opp","result","mp","fg","fga","fgp","three","threeatt","threep","ft","fta","ftp","orb","drb","trb","ast","stl","blk","tov","pts"
"619","1/6/1993","29-324","CHI","CLE","L (-22)","34:00:00",10,22,0.455,0,1,0,3,5,0.6,2,6,8,3,1,0,2,23
"239","3/3/1988","25-015","CHI","PHI","W (+4)","41:00:00",15,29,0.517,0,0,NA,6,9,0.667,0,10,10,7,3,2,5,36
"356","11/22/1989","26-278","CHI","PHO","W (+5)","44:00:00",12,30,0.4,1,3,0.333,9,10,0.9,2,5,7,7,2,0,2,34
"760","4/11/1996","33-054","CHI","NJN","W (+13)","26:00:00",8,18,0.444,0,1,0,1,4,0.25,3,4,7,3,3,0,3,17
"876","12/27/1997","34-313","CHI","ATL","W (+7)","36:00:00",18,26,0.692,0,0,NA,11,13,0.846,2,2,4,2,3,1,4,47
