"","date","age","team","opp","result","mp","fg","fga","fgp","three","threeatt","threep","ft","fta","ftp","orb","drb","trb","ast","stl","blk","tov","pts"
"666","4/23/1993","30-065","CHI","CHH","L (-1)","38:00:00",15,27,0.556,1,2,0.5,7,8,0.875,1,3,4,3,0,0,2,38
"294","1/6/1989","25-324","CHI","UTA","L (-14)","37:00:00",12,21,0.571,0,0,NA,3,5,0.6,1,4,5,4,2,1,2,27
"323","3/13/1989","26-024","CHI","IND","W (+32)","30:00:00",7,15,0.467,3,4,0.75,4,4,1,3,11,14,14,3,2,1,21
"374","1/3/1990","26-320","CHI","CLE","W (+6)","46:00:00",15,32,0.469,0,3,0,8,9,0.889,1,7,8,8,4,0,1,38
"352","11/14/1989","26-270","CHI","SAC","W (+2)","40:00:00",11,25,0.44,1,1,1,4,8,0.5,6,7,13,7,2,0,4,27
"864","11/29/1997","34-285","CHI","WAS","W (+5)","37:00:00",10,21,0.476,1,1,1,8,12,0.667,0,4,4,3,2,0,2,29
"293","1/5/1989","25-323","CHI","CLE","L (-5)","41:00:00",13,24,0.542,1,2,0.5,5,5,1,2,9,11,7,2,0,2,32
"1001","11/17/2002","39-273","WAS","PHI","L (-16)","28:00:00",9,16,0.563,1,2,0.5,0,0,NA,0,2,2,3,1,0,5,19
"961","1/8/2002","38-325","WAS","LAC","W (+8)","42:00:00",9,24,0.375,0,0,NA,0,1,0,2,8,10,8,1,0,4,18
"189","11/18/1987","24-274","CHI","WSB","W (+2)","40:00:00",9,21,0.429,0,1,0,12,12,1,1,2,3,8,3,1,2,30
"848","4/19/1997","34-061","CHI","NYK","L (-2)","39:00:00",14,22,0.636,1,1,1,4,8,0.5,0,3,3,3,2,0,4,33
"88","3/19/1986","23-030","CHI","PHI","L (-6)","15:00",4,14,0.286,0,2,0,4,6,0.667,4,0,4,3,2,2,1,12
"303","1/25/1989","25-343","CHI","PHI","L (-12)","45:00:00",14,25,0.56,0,0,NA,5,5,1,0,6,6,12,2,1,2,33
