"","date","age","team","opp","result","mp","fg","fga","fgp","three","threeatt","threep","ft","fta","ftp","orb","drb","trb","ast","stl","blk","tov","pts"
"701","12/8/1995","32-294","CHI","SAS","W (+19)","36:00:00",11,23,0.478,0,1,0,6,6,1,1,4,5,6,3,1,1,28
"831","3/15/1997","34-026","CHI","ATL","W (+20)","29:00:00",5,11,0.455,0,1,0,0,0,NA,1,3,4,3,1,2,3,10
"821","2/24/1997","34-007","CHI","POR","W (+27)","30:00:00",13,27,0.481,3,7,0.429,8,9,0.889,1,3,4,3,0,0,1,37
"129","1/2/1987","23-319","CHI","BOS","L (-14)","40:00:00",13,31,0.419,0,1,0,8,10,0.8,6,2,8,3,1,0,2,34
"393","2/13/1990","26-361","CHI","MIA","W (+12)","40:00:00",8,16,0.5,0,1,0,10,11,0.909,1,3,4,6,3,0,3,26
"314","2/20/1989","26-003","CHI","POR","W (+4)","36:00:00",13,22,0.591,0,0,NA,7,8,0.875,2,4,6,7,1,0,4,33
"793","12/23/1996","33-310","CHI","NJN","W (+32)","33:00:00",10,18,0.556,0,1,0,4,4,1,2,1,3,4,0,0,3,24
"526","12/6/1991","28-292","CHI","CHH","W (+18)","34:00:00",8,19,0.421,1,2,0.5,2,4,0.5,1,10,11,10,1,0,1,19
"860","11/21/1997","34-277","CHI","LAC","W (+9)","52:00:00",18,38,0.474,0,2,0,13,19,0.684,2,3,5,5,1,1,4,49
"320","3/4/1989","26-015","CHI","NYK","L (-18)","42:00:00",10,16,0.625,0,0,NA,8,8,1,1,2,3,10,2,0,4,28
"866","12/5/1997","34-291","CHI","MIL","W (+22)","35:00:00",4,16,0.25,0,3,0,5,6,0.833,3,6,9,2,1,0,1,13
"936","11/9/2001","38-265","WAS","GSW","L (-9)","38:00:00",13,30,0.433,0,1,0,6,8,0.75,0,3,3,3,3,0,3,32
"21","12/7/1984","21-294","CHI","NYK","W (+2)","43:00:00",8,16,0.5,0,1,0,5,7,0.714,1,1,2,3,2,0,6,21
"267","11/8/1988","25-265","CHI","NYK","L (-9)","39:00:00",13,21,0.619,2,3,0.667,3,3,1,2,1,3,9,2,0,4,31
"995","11/6/2002","39-262","WAS","CLE","W (+7)","24:00:00",2,6,0.333,0,1,0,2,3,0.667,1,2,3,4,3,0,1,6
"592","11/9/1992","29-266","CHI","IND","W (+5)","42:00:00",10,20,0.5,0,1,0,4,5,0.8,0,2,2,12,2,0,4,24
"937","11/11/2001","38-267","WAS","SEA","L (-15)","39:00:00",5,26,0.192,0,1,0,6,6,1,3,9,12,4,1,2,1,16
"1060","3/25/2003","40-036","WAS","POR","W (+4)","41:00:00",11,19,0.579,0,0,NA,3,4,0.75,0,5,5,7,2,0,1,25
"418","4/5/1990","27-047","CHI","ORL","W (+7)","39:00:00",14,23,0.609,2,6,0.333,8,10,0.8,1,6,7,3,4,1,2,38
"561","2/19/1992","29-002","CHI","ORL","W (+13)","38:00:00",11,23,0.478,0,1,0,5,7,0.714,5,5,10,8,2,0,3,27
"380","1/13/1990","26-330","CHI","LAC","W (+6)","34:00:00",11,21,0.524,2,4,0.5,4,6,0.667,0,5,5,10,4,0,0,28
"131","1/6/1987","23-323","CHI","CLE","W (+4)","38:00:00",13,23,0.565,0,0,NA,1,3,0.333,0,2,2,3,2,0,3,27
"409","3/20/1990","27-031","CHI","WSB","W (+25)","39:00:00",8,19,0.421,1,2,0.5,4,4,1,3,5,8,5,2,2,3,21
"110","11/22/1986","23-278","CHI","WSB","W (+9)","39:00:00",10,26,0.385,0,0,NA,2,3,0.667,2,7,9,4,3,1,3,22
"988","3/29/2002","39-040","WAS","MIL","W (+9)","26:00:00",12,22,0.545,0,0,NA,10,12,0.833,0,3,3,1,0,0,0,34
"435","11/15/1990","27-271","CHI","GSW","L (-10)","38:00:00",6,12,0.5,0,1,0,2,3,0.667,2,6,8,6,1,1,2,14
"1026","1/10/2003","39-327","WAS","GSW","L (-5)","41:00:00",7,17,0.412,0,0,NA,0,0,NA,0,2,2,5,0,1,0,14
"589","4/19/1992","29-062","CHI","DET","W (+18)","39:00:00",9,17,0.529,0,0,NA,14,15,0.933,0,2,2,7,2,1,7,32
"808","1/25/1997","33-343","CHI","TOR","W (+12)","31:00:00",10,16,0.625,3,4,0.75,1,2,0.5,1,2,3,4,2,0,0,24
"932","11/1/2001","38-257","WAS","ATL","W (+10)","40:00:00",13,30,0.433,0,3,0,5,6,0.833,0,6,6,6,2,0,1,31
"524","11/30/1991","28-286","CHI","SAC","W (+16)","39:00:00",13,21,0.619,0,2,0,4,9,0.444,0,6,6,8,0,1,2,30
"93","3/29/1986","23-040","CHI","NYK","W (+10)","23:00",10,17,0.588,0,1,0,4,6,0.667,1,0,1,1,1,3,4,24
"248","3/23/1988","25-035","CHI","PHI","W (+16)","42:00:00",20,35,0.571,0,1,0,9,12,0.75,5,8,13,2,0,2,0,49
"827","3/9/1997","34-020","CHI","NYK","L (-4)","46:00:00",14,31,0.452,0,3,0,8,9,0.889,2,4,6,4,1,0,1,36
"230","2/12/1988","24-360","CHI","MIL","W (+2)","43:00:00",9,19,0.474,0,1,0,9,10,0.9,0,6,6,8,0,0,3,27
"607","12/12/1992","29-299","CHI","NJN","W (+6)","41:00:00",13,26,0.5,3,6,0.5,9,12,0.75,0,6,6,3,1,1,2,38
"951","12/14/2001","38-300","WAS","NYK","W (+16)","34:00:00",8,19,0.421,0,1,0,3,3,1,0,6,6,6,1,2,5,19
"871","12/15/1997","34-301","CHI","PHO","W (+7)","36:00:00",10,23,0.435,0,1,0,11,12,0.917,3,6,9,4,4,1,2,31
"103","11/4/1986","23-260","CHI","SAS","W (+7)","44:00:00",14,31,0.452,0,1,0,6,13,0.462,3,5,8,5,4,2,6,34
"927","4/13/1998","35-055","CHI","IND","L (-9)","41:00:00",7,19,0.368,1,1,1,12,14,0.857,0,4,4,3,3,0,4,27
"854","11/8/1997","34-264","CHI","NJN","W (+13)","33:00:00",5,13,0.385,0,1,0,5,8,0.625,1,4,5,2,2,0,2,15
"843","4/9/1997","34-051","CHI","IND","W (+6)","41:00:00",8,19,0.421,0,3,0,7,8,0.875,0,3,3,2,5,0,6,23
"1021","12/31/2002","39-317","WAS","SAS","W (+2)","35:00:00",7,15,0.467,1,1,1,2,2,1,1,6,7,3,1,0,2,17
"165","3/17/1987","24-028","CHI","DAL","L (-18)","42:00:00",7,21,0.333,1,2,0.5,6,7,0.857,0,3,3,9,0,0,3,21
"955","12/22/2001","38-308","WAS","NYK","W (+1)","36:00:00",11,22,0.5,0,0,NA,4,7,0.571,0,1,1,3,1,0,4,26
"114","12/2/1986","23-288","CHI","SEA","W (+6)","48:00:00",13,30,0.433,0,0,NA,14,15,0.933,5,4,9,6,3,6,4,40
"266","11/5/1988","25-262","CHI","WSB","W (+13)","39:00:00",9,21,0.429,0,0,NA,11,12,0.917,0,2,2,7,3,0,5,29
"53","2/19/1985","22-002","CHI","LAL","L (-10)","30:00:00",6,13,0.462,0,2,0,4,5,0.8,4,2,6,8,0,0,3,16
"191","11/21/1987","24-277","CHI","DET","L (-12)","44:00:00",17,38,0.447,0,2,0,15,17,0.882,2,4,6,8,6,1,4,49
"543","1/11/1992","28-328","CHI","MIA","W (+9)","39:00:00",10,19,0.526,0,0,NA,10,10,1,0,6,6,7,1,1,1,30
"574","3/16/1992","29-028","CHI","MIA","W (+16)","39:00:00",15,27,0.556,0,2,0,7,7,1,2,7,9,13,0,1,3,37
"496","3/28/1991","28-039","CHI","NJN","W (+34)","30:00:00",16,26,0.615,0,0,NA,10,11,0.909,1,0,1,4,0,2,3,42
"333","3/31/1989","26-042","CHI","CLE","L (-9)","43:00:00",15,29,0.517,1,2,0.5,6,7,0.857,2,8,10,10,3,1,3,37
"1059","3/23/2003","40-034","WAS","GSW","L (-6)","42:00:00",11,23,0.478,1,1,1,1,1,1,0,5,5,4,2,0,3,24
"533","12/21/1991","28-307","CHI","ATL","W (+14)","43:00:00",16,24,0.667,2,2,1,3,3,1,1,8,9,10,4,1,3,37
"411","3/23/1990","27-034","CHI","CLE","W (+7)","40:00:00",18,32,0.563,0,3,0,5,6,0.833,2,4,6,5,5,1,3,41
"136","1/19/1987","23-336","CHI","IND","L (-14)","41:00:00",11,25,0.44,1,1,1,9,11,0.818,4,2,6,3,0,0,5,32
"899","2/11/1998","34-359","CHI","CHH","W (+2)","41:00:00",11,22,0.5,0,0,NA,7,9,0.778,1,3,4,6,0,0,1,29
"491","3/18/1991","28-029","CHI","DEN","W (+13)","29:00:00",11,19,0.579,2,3,0.667,7,7,1,0,6,6,2,0,1,3,31
"406","3/13/1990","27-024","CHI","NYK","W (+3)","42:00:00",11,19,0.579,1,3,0.333,11,12,0.917,2,6,8,7,1,1,4,34
"142","1/30/1987","23-347","CHI","PHI","L (-9)","41:00:00",19,35,0.543,0,4,0,11,12,0.917,1,1,2,5,3,2,4,49
"23","12/11/1984","21-298","CHI","DET","L (-7)","37:00:00",13,28,0.464,0,1,0,1,3,0.333,1,7,8,6,2,0,3,27
