"Adm_Rate","Year","College"
28.9,2018,"Grinnell"
24.4,2019,"Grinnell"
23.1,2020,"Grinnell"
21.2,2018,"Carlton"
19.8,2019,"Carlton"
19.1,2020,"Carlton"
33.7,2018,"Oberlin"
36.2,2019,"Oberlin"
36.4,2020,"Oberlin"
