Case,Location,Year,Type,Age,Race,Gender,Fatalities,Injured,Victims,Place,Legally,Mental,Sources
Dayton entertainment district shooting,"Dayton, OH",2019,Mass,24,white,male,9,27,36,Other,yes,unclear/unknown/tbd,https://www.nytimes.com/2019/08/04/us/dayton-ohio-shooting.html; https://www.nytimes.com/2019/08/04/us/mass-shootings-dayton-el-paso.html; https://www.washingtonpost.com/nation/2019/08/04/nine-fatally-shot-dayton-including-suspect-day-after-mass-shooting-texas/; https://www.washingtonpost.com/national/police-chief-it-seems-to-defy-believability-that-dayton-shooter-would-kill-his-own-sister/2019/08/05/920a895c-b79e-11e9-b3b4-2bb69e8c4e39_story.html; https://www.cnn.com/2019/08/05/us/connor-betts-dayton-shooting-profile/index.html
El Paso Walmart mass shooting,"El Paso, TX",2019,Mass,21,white,male,22,26,48,Workplace,yes,unclear/unknown/tbd,https://www.washingtonpost.com/nation/2019/08/04/investigators-search-answers-after-gunman-kills-el-paso/; https://www.nytimes.com/2019/08/04/us/mass-shootings-dayton-el-paso.html; https://www.apnews.com/5fb2144947974631912d1efa889f932b
Virginia Beach municipal building shooting,"Virginia Beach, VA",2019,Mass,40,black,male,12,4,16,Workplace,yes,unclear/unknown/tbd,https://www.washingtonpost.com/local/public-safety/virginia-beach-officials-expect-to-release-additional-details-of-mass-shooting/2019/06/02/a001b856-852f-11e9-a870-b9c411dc4312_story.html; https://pilotonline.com/news/local/virginia-beach-mass-shooting/article_e15ea290-853f-11e9-aa50-93751bba3c3b.html; https://pilotonline.com/news/local/virginia-beach-mass-shooting/article_c8353020-84a1-11e9-aa12-d3bf967368c4.html; https://www.reuters.com/article/us-virginia-shooting-guns/virginia-beach-shooter-bought-guns-he-used-legally-federal-agent-idUSKCN1T23EZ; https://www.usatoday.com/story/news/nation/2019/06/02/virginia-beach-shooter-dewayne-craddock-puzzles-law-enforcement/1319550001/
Harry Pratt Co. warehouse shooting,"Aurora, IL",2019,Mass,45,black,male,5,6,11,Workplace,no,yes,https://www.washingtonpost.com/nation/2019/02/16/man-kills-five-warehouse-shooting-spree-shortly-after-being-fired-illinois-police-say/?utm_term=.9863ec4ffc41; https://www.cnn.com/2019/02/17/us/aurora-shooting-termination/index.html; https://www.wsj.com/articles/companies-roll-out-gunshot-detectors-at-the-office-11550575801; https://www.cbsnews.com/news/gary-martin-aurora-illinois-plant-gunman-threatened-violence-if-fired-prosecutors-say/
SunTrust bank shooting,"Sebring, FL",2019,Mass,21,white,male,5,0,5,Workplace,yes,yes,https://wsbt.com/news/local/classmate-says-florida-bank-shooter-who-allegedly-killed-5-attended-bremen-high-school; https://www.washingtonpost.com/nation/2019/01/23/several-people-shot-after-gunman-barricades-himself-florida-bank-authorities-say/; https://www.wptv.com/news/state/accused-bank-shooter-zephen-xaver-fascinated-with-violence-ex-girlfriend-says; https://www.npr.org/2019/01/24/688183605/man-charged-with-murder-after-allegedly-killing-5-women-at-suntrust-bank-in-flor; https://www.wesh.com/article/sebring-bank-shooting-latest/26012533; https://www.apnews.com/c3523d282b2942739240731daaf797c2
Thousand Oaks nightclub shooting,"Thousand Oaks, CA",2018,Mass,28,other/unknown,male,12,22,34,Other,yes,yes,http://www.latimes.com/local/lanow/la-me-ln-thousand-oaks-20181107-story.html; https://www.washingtonpost.com/nation/2018/11/08/multiple-injuries-reported-bar-shooting-thousand-oaks-calif/; https://www.nytimes.com/2018/11/08/us/shooting-california-thousand-oaks.html; https://www.nytimes.com/2018/11/08/us/ian-david-long-california-shooter.html; https://www.wsj.com/articles/multiple-injuries-reported-in-bar-shooting-in-thousand-oaks-california-1541666907
Tree of Life synagogue shooting,"Pittsburgh, PA",2018,Mass,46,white,male,11,6,17,Religious,yes,unclear/unknown/tbd,https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html; https://www.cnn.com/us/live-news/pittsburgh-synagogue-shooting/h_0c180f52c8d032fd47eef570cc5065c2; https://www.nytimes.com/2018/10/30/us/ar15-gun-pittsburgh-shooting.html
T&T Trucking shooting,"Bakersfield, CA",2018,Spree,54,latino,male,5,0,5,Workplace,yes,unclear/unknown/tbd,http://www.latimes.com/local/lanow/la-me-bakersfield-mass-shooting-20180914-story.html; https://www.cnn.com/2018/09/13/us/california-shootings-multiple-dead/index.html; https://www.bakersfield.com/ex-wife-in-mass-shooting-had-just-filed-for-child/article_8d7510c2-bc38-11e8-bc73-c3793e2ec681.html
Capital Gazette shooting,"Annapolis, MD",2018,Mass,38,white,male,5,2,7,Workplace,yes,unclear/unknown/tbd,http://www.capitalgazette.com/news/annapolis/bs-md-gazette-shooting-20180628-story.html; http://www.capitalgazette.com/news/for_the_record/bs-md-ramos-charges-20180629-story.html; https://www.nytimes.com/2018/06/28/us/capital-gazette-annapolis-shooting.html; https://www.washingtonpost.com/local/public-safety/heavy-police-activity-reported-around-capital-gazette-newsroom-in-annapolis/2018/06/28/32e0123e-7b05-11e8-93cc-6d3beccdd7a3_story.html?utm_term=.e8fb121510f7; https://www.washingtonpost.com/local/public-safety/five-dead-in-shooting-at-capital-gazette-paper-suspect-in-custody/2018/06/29/374b0292-7b7e-11e8-aeee-4d04c8ac6158_story.html
Santa Fe High School shooting,"Santa Fe, TX",2018,Mass,17,white,male,10,13,23,School,unknown/tbd,unclear/unknown/tbd,https://www.chron.com/news/houston-texas/article/Shots-fired-at-Santa-Fe-High-School-12925050.php; https://www.nytimes.com/2018/05/18/us/school-shooting-santa-fe-texas.html; https://www.aol.com/article/news/2018/05/21/suspected-texas-gunman-studied-previous-mass-shootings-report/23439884/
Waffle House shooting,"Nashville, TN",2018,Mass,29,white,male,4,4,8,Other,yes,yes,https://www.washingtonpost.com/news/post-nation/wp/2018/04/23/waffle-house-shooting-travis-reinking-manhunt-continues-nashville-police-say/?utm_term=.69579db5fdc6; https://www.tennessean.com/story/news/2018/04/23/waffle-house-shooting-travis-reinking-search-continues-antioch-nashville/541313002/; https://www.nytimes.com/2018/04/23/us/waffle-house-shooting-nashville.html; https://www.buzzfeed.com/briannasacks/this-is-what-we-know-about-the-suspected-waffle-house-gunman?utm_term=.ilj2Knad6#.lklzyb3vj; http://www.wkrn.com/news/manhunt-continues-for-gunman-who-killed-4-at-antioch-waffle-house/1134986998
Marjory Stoneman Douglas High School shooting,"Parkland, FL",2018,Mass,19,white,male,17,17,34,School,yes,yes,https://www.nytimes.com/2018/02/14/us/parkland-school-shooting.html; https://www.nytimes.com/2018/02/15/us/nikolas-cruz-florida-shooting.html; https://www.washingtonpost.com/news/local/wp/2019/01/25/feature/brother-parkland-shooter-nikolas-cruz/?utm_term=.1cc1aa9bb21a
Pennsylvania carwash shooting,"Melcroft, PA",2018,Mass,28,white,male,4,1,5,Other,unknown/tbd,unclear/unknown/tbd,http://www.wpxi.com/news/top-stories/family-members-small-community-in-shock-after-4-killed-in-shooting/690497960; http://www.wpxi.com/news/top-stories/suspect-in-mass-shooting-at-car-wash-pronounced-dead/691578228
Rancho Tehama shooting spree,"Rancho Tehama, CA",2017,Spree,44,white,male,5,10,15,Other,no,unclear/unknown/tbd,https://www.nbcnews.com/news/us-news/california-mass-shooter-killed-wife-buried-her-beneath-floor-n821051; https://www.npr.org/sections/thetwo-way/2017/11/15/564335359/in-harm-s-way-school-staff-saved-students-during-tehama-county-shooting; https://twitter.com/anblanx/status/930862796123729920
Texas First Baptist Church massacre,"Sutherland Springs, TX",2017,Mass,26,white,male,26,20,46,Religious,yes,yes,https://www.washingtonpost.com/news/morning-mix/wp/2017/11/06/who-is-devin-patrick-kelley-gunman-who-officials-say-killed-churchgoers-in-sutherland-springs/; https://www.washingtonpost.com/news/post-nation/wp/2017/11/06/investigators-hunt-for-motive-in-texas-church-shooting-as-the-grieving-spans-generations/; https://www.washingtonpost.com/news/morning-mix/wp/2017/11/06/an-unlikely-hero-describes-gun-battle-and-95-mph-chase-with-texas-shooting-suspect/; http://www.cnn.com/2017/11/06/us/texas-church-shooting/index.html; https://www.usnews.com/news/top-news/articles/2017-11-06/church-shooter-killed-himself-after-vehicle-chase-sheriff-tells-cbs
Las Vegas Strip massacre,"Las Vegas, NV",2017,Mass,64,white,male,58,546,604,Other,yes,unclear/unknown/tbd,"https://www.lvmpd.com/en-us/Documents/1_October_FIT_Report_01-18-2018_Footnoted.pdf; https://www.nytimes.com/2017/10/02/us/stephen-paddock-vegas-shooter.html; https://www.wsj.com/articles/las-vegas-suspect-likely-used-automatic-rifle-in-massacre-1506966716; https://www.usatoday.com/story/news/nation/2017/10/02/las-vegas-shooting/722191001/; https://www.usatoday.com/story/news/nation/2017/10/02/las-vegas-shooting/722191001/; http://www.latimes.com/nation/la-las-vegas-shooting-live-updates-paddock-had-19-rifles-in-room-1506985512-htmlstory.html; https://www.nytimes.com/2017/10/02/us/stephen-paddock-vegas-shooter.html; https://www.usatoday.com/story/news/nation/2017/10/06/here-all-victims-las-vegas-shooting/733236001/; https://www.reviewjournal.com/crime/shootings/last-of-local-hospitals-patients-in-las-vegas-shooting-released/; *Note: casualty count from LVMPD report 1-18-18: ""deaths of 58 innocent concert goers and injuring more than
700"""
Florida awning manufacturer shooting,"Orlando, Florida",2017,Mass,45,other/unknown,male,5,0,5,Workplace,unknown/tbd,unclear/unknown/tbd,http://www.postandcourier.com/news/multiple-people-dead-following-shooting-near-orlando-monday-morning/article_918fe64c-49f6-11e7-b071-a3fbdb04ebcc.html; http://www.mcclatchydc.com/news/politics-government/national-politics/article154471839.htmlhttp://edition.cnn.com/2017/06/05/us/orlando-fatalities/; http://www.orlandosentinel.com/news/orlando-workplace-shooting/os-john-robert-neumann-shooting-suspect-20170605-story.html
Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",2017,Mass,26,latino,male,5,6,11,Other,yes,yes,http://www.nytimes.com/2017/01/07/us/esteban-santiago-fort-lauderdale-airport-shooting-.html?_r=0
Cascade Mall shooting,"Burlington, Washington",2016,Mass,20,other/unknown,male,5,0,5,Other,unknown/tbd,yes,http://www.nytimes.com/2016/09/25/us/mall-shooting-washington-state.html; https://www.seattletimes.com/seattle-news/crime/accused-cascade-mall-shooter-dies-in-snohomish-county-jail/
Dallas police shooting,"Dallas, Texas",2016,Mass,25,black,male,5,11,16,Other,yes,unclear/unknown/tbd,http://www.nytimes.com/2016/07/11/us/dallas-shooting-micah-johnson-police.html?_r=0; http://www.wsj.com/articles/dallas-shooter-purchased-guns-legally-official-says-1468269720
Orlando nightclub massacre,"Orlando, Florida",2016,Mass,29,other/unknown,male,49,53,102,Other,yes,unclear/unknown/tbd,http://www.motherjones.com/politics/2016/06/assault-rifle-used-by-orlando-mass-shooter; http://wrbl.com/2016/06/13/orlando-police-make-statement-on-mass-shooting/; http://www.slate.com/articles/news_and_politics/crime/2016/06/the_ar_15_and_other_assault_rifles_are_bad_high_capacity_magazines_are_worse.html
Kalamazoo shooting spree,"Kalamazoo County, Michigan",2016,Mass,45,white,male,6,2,8,Other,yes,unclear/unknown/tbd,http://www.nytimes.com/2016/02/22/us/kalamazoo-michigan-random-shootings.html; http://www.mlive.com/news/kalamazoo/index.ssf/2016/02/4_things_we_know_about_kalamaz.html; http://www.mlive.com/news/kalamazoo/index.ssf/2016/02/prosecutor_mass_shooting_suspe.html#incart_river_index
San Bernardino mass shooting,"San Bernardino, California",2015,Mass,28,other/unknown,male & female,14,21,35,Workplace,yes,unclear/unknown/tbd,http://www.motherjones.com/mojo/2015/12/san-bernardino-shooting and  http://www.cnbc.com/2015/12/03/san-bernardino-shooting-suspects-rizwan-farook-tashfeen-malik-dead.html and http://www.nytimes.com/2015/12/04/us/san-bernardino-shooting.html and http://www.nytimes.com/2015/12/04/us/weapons-in-san-bernardino-shootings-were-legally-obtained.html?_r=0
Umpqua Community College shooting,"Roseburg, Oregon",2015,Mass,26,other/unknown,male,9,9,18,School,yes,unclear/unknown/tbd,http://www.nytimes.com/2015/10/03/us/chris-harper-mercer-umpqua-community-college-shooting.html; http://www.latimes.com/nation/nationnow/la-na-nn-chris-harper-mercer-oregon-shooting-20151002-htmlstory.html; http://www.huffingtonpost.com/entry/ian-mercer-father-guns_56116d7ae4b0af3706e12525; http://wate.com/2015/10/02/what-we-know-about-umpqua-community-college-shooter-2/; http://www.cnn.com/2015/10/02/us/oregon-umpqua-community-college-shooting/ 
