"","date","age","team","opp","result","mp","fg","fga","fgp","three","threeatt","threep","ft","fta","ftp","orb","drb","trb","ast","stl","blk","tov","pts"
"455","12/27/1990","27-313","CHI","GSW","W (+15)","34:00:00",17,25,0.68,1,2,0.5,7,7,1,1,13,14,7,3,1,1,42
"1032","1/22/2003","39-339","WAS","NOH","L (-9)","38:00:00",9,21,0.429,0,0,NA,0,0,NA,0,4,4,3,3,0,2,18
"1047","2/27/2003","40-010","WAS","HOU","W (+2)","50:00:00",15,26,0.577,0,0,NA,5,7,0.714,0,11,11,6,0,0,3,35
"899","2/11/1998","34-359","CHI","CHH","W (+2)","41:00:00",11,22,0.5,0,0,NA,7,9,0.778,1,3,4,6,0,0,1,29
"1065","4/3/2003","40-045","WAS","ATL","L (-2)","43:00:00",10,23,0.435,0,1,0,2,2,1,1,13,14,7,2,0,0,22
"924","4/7/1998","35-049","CHI","WAS","W (+18)","33:00:00",11,21,0.524,1,2,0.5,7,8,0.875,1,3,4,3,1,1,2,30
"748","3/16/1996","33-028","CHI","NJN","W (+4)","43:00:00",14,29,0.483,2,5,0.4,7,7,1,2,14,16,5,1,3,0,37
"416","4/1/1990","27-043","CHI","MIA","W (+8)","41:00:00",20,29,0.69,1,2,0.5,6,9,0.667,2,4,6,7,3,3,5,47
"335","4/4/1989","26-046","CHI","CHH","W (+20)","40:00:00",10,15,0.667,0,2,0,13,15,0.867,4,6,10,12,6,1,3,33
"900","2/13/1998","34-361","CHI","ATL","W (+2)","36:00:00",14,22,0.636,0,1,0,9,12,0.75,3,4,7,1,1,0,2,37
"148","2/14/1987","23-362","CHI","NYK","W (+4)","37:00:00",15,24,0.625,0,1,0,3,5,0.6,0,2,2,8,3,3,2,33
"550","1/24/1992","28-341","CHI","DET","W (+24)","30:00:00",9,14,0.643,0,0,NA,2,2,1,1,1,2,5,0,2,2,20
"630","1/28/1993","29-346","CHI","HOU","L (-11)","39:00:00",12,27,0.444,1,1,1,1,2,0.5,0,6,6,4,5,0,3,26
"999","11/14/2002","39-270","WAS","UTA","W (+3)","34:00:00",7,17,0.412,0,1,0,5,5,1,0,6,6,1,1,0,3,19
"665","4/22/1993","30-064","CHI","DET","W (+6)","46:00:00",15,27,0.556,0,1,0,6,11,0.545,1,6,7,4,4,0,2,36
"620","1/8/1993","29-326","CHI","MIL","W (+25)","35:00:00",15,26,0.577,2,5,0.4,3,3,1,3,5,8,7,4,0,2,35
"291","12/30/1988","25-317","CHI","IND","W (+16)","37:00:00",13,26,0.5,0,0,NA,5,5,1,2,5,7,4,4,2,2,31
"156","3/3/1987","24-014","CHI","LAC","W (+34)","28:00:00",11,17,0.647,0,0,NA,8,9,0.889,0,3,3,8,3,2,2,30
"845","4/13/1997","34-055","CHI","DET","L (-17)","38:00:00",7,16,0.438,0,3,0,4,4,1,1,8,9,7,0,0,4,18
"407","3/16/1990","27-027","CHI","DET","L (-25)","41:00:00",8,17,0.471,3,5,0.6,1,3,0.333,0,8,8,7,1,0,3,20
"864","11/29/1997","34-285","CHI","WAS","W (+5)","37:00:00",10,21,0.476,1,1,1,8,12,0.667,0,4,4,3,2,0,2,29
"720","1/18/1996","32-335","CHI","TOR","W (+3)","43:00:00",14,28,0.5,4,8,0.5,6,8,0.75,4,5,9,2,1,0,1,38
"928","4/15/1998","35-057","CHI","DET","L (-8)","43:00:00",7,25,0.28,0,3,0,5,10,0.5,4,2,6,4,1,0,2,19
"118","12/9/1986","23-295","CHI","DEN","W (+6)","42:00:00",16,30,0.533,0,0,NA,8,9,0.889,2,4,6,6,3,4,3,40
"817","2/16/1997","33-365","CHI","ORL","W (+21)","38:00:00",8,20,0.4,3,4,0.75,0,0,NA,1,7,8,10,4,0,2,19
