Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
3141807,18-Feb-25,Florida,Tampa,2600 E 28th Ave,1,3,0,0,0,N/A
3140814,16-Feb-25,Georgia,Decatur,5300 block of Panola Industrial Blvd,1,4,0,0,0,N/A
3139838,15-Feb-25,Virginia,Roanoke,4100 block of Melrose Ave NW,0,4,0,1,1,N/A
3138476,12-Feb-25,Missouri,Saint Louis (Ferguson),7000 block of Halpin Dr,1,3,0,0,0,N/A
3136711,10-Feb-25,Wyoming,Byron,239 E Shoshone Ave,4,0,1,0,0,N/A
3135132,9-Feb-25,California,Woodland Hills,5850 Winnetka Ave,1,6,0,0,0,N/A
3135318,8-Feb-25,North Carolina,Raleigh,1000 block of Auston Grove Dr,0,4,0,0,0,N/A
3134984,8-Feb-25,Arizona,Casa Grande,500 block of W 13th Pl,1,5,0,0,0,N/A
3134788,8-Feb-25,Oklahoma,Tulsa,11800 block of E 21st St,2,2,0,0,3,N/A
3134608,7-Feb-25,Georgia,Atlanta,Lakewood Ave SE and Lethea St SE,0,4,0,0,0,N/A
3134167,6-Feb-25,Florida,Quincy,3749 Pat Thomas Pkwy,2,3,1,0,0,N/A
3131985,4-Feb-25,Ohio,New Albany,8825 Smiths Mill Rd N,2,4,0,0,1,N/A
3130376,2-Feb-25,Pennsylvania,Allentown,1500 Union Blvd,1,3,0,0,2,N/A
3129861,1-Feb-25,Oregon,Clatskanie,Quincy Mayger Rd and Ilmari Rd,1,3,1,0,0,N/A
3129663,31-Jan-25,California,Los Angeles,13200 block of Jarvis Avenue,2,5,0,0,0,N/A
3127740,29-Jan-25,Tennessee,Memphis,900 block of College Park Dr,2,2,0,1,1,N/A
3125975,27-Jan-25,Indiana,Elkhart,575 E Jackson Blvd,2,2,1,0,0,N/A
3126004,26-Jan-25,Virginia,Richmond (Bon Air),10016 Robious Rd,0,5,0,0,1,N/A
3124977,26-Jan-25,Texas,Amarillo,709 S Polk St,1,8,0,0,1,N/A
3124458,25-Jan-25,Tennessee,Memphis,2590 Park Ave,0,4,0,0,2,N/A
3123627,24-Jan-25,Alabama,Mobile,1200 Murray Hill Ct,1,3,0,0,1,N/A
3121297,22-Jan-25,California,Los Angeles,600 block of S Alvarado St,0,5,0,1,1,N/A
3122078,22-Jan-25,Texas,San Antonio,18777 Stone Oak Pkwy,0,7,1,0,0,N/A
3121802,22-Jan-25,Maryland,Baltimore,5400 block of York Rd,1,3,0,0,0,N/A
3121591,21-Jan-25,Minnesota,Minneapolis,W 29th St and Pleasant Ave,0,4,0,0,0,N/A
3119395,19-Jan-25,Florida,Boynton Beach,500 block of NE 2nd St,0,5,1,0,0,N/A
3118521,18-Jan-25,Louisiana,New Orleans (River Ridge),10133 Stephen Dr,2,2,1,0,0,N/A
3116474,16-Jan-25,Colorado,Colorado Springs,7000 block of Dove Creek Cir,1,3,0,0,5,N/A
3115486,14-Jan-25,Texas,Houston,12867 Greens Bayou St,2,2,0,0,0,N/A
3114020,12-Jan-25,Nebraska,Omaha,N 24th St and Binney St,1,4,0,0,0,N/A
3113477,11-Jan-25,Louisiana,Dubberly,5185 State Rte 531,0,6,0,0,4,N/A
3109523,5-Jan-25,Arizona,Tucson,3000 S Mission Rd,0,4,0,0,1,N/A
3108706,3-Jan-25,District of Columbia,Washington,1500 block of Harry Thomas Way NE,0,4,0,1,1,N/A
3107148,1-Jan-25,New York,Corona (Queens),91-12 144th Pl,0,10,0,0,0,N/A
3106647,1-Jan-25,Illinois,Kankakee,1845 Pierson Pkwy,2,5,0,0,0,N/A
3106379,1-Jan-25,Louisiana,New Orleans,Bourbon St and Iberville St,1,7,1,0,0,N/A
3107042,1-Jan-25,Texas,Dallas,2900 block of St George Dr,1,3,0,0,1,N/A
