"ID","AB","R","H","X2B","HR","RBI","SB","CS","BB","SO"
"alcanse01",410,0.126829268292683,0.219512195121951,0.0390243902439024,0.0292682926829268,0.141463414634146,0.0048780487804878,0.00975609756097561,0.0585365853658537,0.278048780487805
"alfarjo01",256,0.09765625,0.24609375,0.0546875,0.02734375,0.15625,0.00390625,0,0.04296875,0.3828125
"allenni02",299,0.103678929765886,0.207357859531773,0.0434782608695652,0.0133779264214047,0.0635451505016722,0.0100334448160535,0.00668896321070234,0.0635451505016722,0.214046822742475
"almoral01",215,0.12093023255814,0.223255813953488,0.0465116279069767,0.0232558139534884,0.134883720930233,0.013953488372093,0.00930232558139535,0.0790697674418605,0.213953488372093
"alonspe01",597,0.159128978224456,0.271356783919598,0.0452261306532663,0.067001675041876,0.219430485762144,0.00837520938023451,0.0016750418760469,0.112227805695142,0.214405360134003
"altuvjo01",527,0.195445920303605,0.299810246679317,0.0740037950664137,0.0531309297912713,0.108159392789374,0.0341555977229602,0.00189753320683112,0.125237191650854,0.165085388994307
"alvaryo01",470,0.202127659574468,0.306382978723404,0.0617021276595745,0.0787234042553192,0.206382978723404,0.00212765957446809,0.00212765957446809,0.165957446808511,0.225531914893617
"anderbr06",338,0.127218934911243,0.22189349112426,0.0473372781065089,0.0236686390532544,0.0828402366863905,0.0029585798816568,0,0.109467455621302,0.298816568047337
"anderti01",332,0.150602409638554,0.301204819277108,0.0391566265060241,0.0180722891566265,0.0753012048192771,0.0391566265060241,0,0.0421686746987952,0.16566265060241
"andruel01",1070,0.123364485981308,0.248598130841122,0.0598130841121495,0.0317757009345794,0.108411214953271,0.0336448598130841,0.00747663551401869,0.0728971962616822,0.17196261682243
"andujmi01",264,0.0984848484848485,0.234848484848485,0.0378787878787879,0.00757575757575758,0.128787878787879,0.0303030303030303,0.00757575757575758,0.0378787878787879,0.204545454545455
"aquinar01",259,0.0926640926640927,0.196911196911197,0.0501930501930502,0.0386100386100386,0.115830115830116,0.00772200772200772,0.0115830115830116,0.0656370656370656,0.38996138996139
"arciaor01",209,0.119617224880383,0.244019138755981,0.0430622009569378,0.0430622009569378,0.143540669856459,0,0,0.100478468899522,0.244019138755981
"arenano01",557,0.131059245960503,0.292639138240575,0.0754039497307002,0.0538599640933573,0.18491921005386,0.00897666068222621,0.00538599640933573,0.0933572710951526,0.129263913824057
"arozara01",586,0.122866894197952,0.262798634812287,0.0699658703071672,0.0341296928327645,0.151877133105802,0.0546075085324232,0.0204778156996587,0.0784982935153584,0.266211604095563
"arraelu01",547,0.160877513711152,0.316270566727605,0.056672760511883,0.0146252285191956,0.0895795246800731,0.00731261425959781,0.00731261425959781,0.0914076782449726,0.0786106032906764
"arroych01",280,0.114285714285714,0.285714285714286,0.0571428571428571,0.0214285714285714,0.128571428571429,0.0178571428571429,0.00357142857142857,0.0464285714285714,0.175
"azocajo01",202,0.118811881188119,0.257425742574257,0.0445544554455446,0,0.0495049504950495,0.0247524752475248,0.0297029702970297,0.0594059405940594,0.217821782178218
"baddoak01",201,0.149253731343284,0.203980099502488,0.0149253731343284,0.00995024875621891,0.0447761194029851,0.0447761194029851,0.0298507462686567,0.119402985074627,0.318407960199005
"baderha01",584,0.13013698630137,0.25,0.0342465753424658,0.0171232876712329,0.102739726027397,0.0582191780821918,0.0102739726027397,0.0513698630136986,0.212328767123288
"baezja01",555,0.115315315315315,0.237837837837838,0.0486486486486487,0.0306306306306306,0.120720720720721,0.0162162162162162,0.0036036036036036,0.0468468468468468,0.264864864864865
"barnhtu01",281,0.0569395017793594,0.220640569395018,0.0355871886120996,0.00355871886120996,0.0569395017793594,0,0,0.0889679715302491,0.263345195729537
"bartjo01",261,0.130268199233716,0.21455938697318,0.0229885057471264,0.0421455938697318,0.0957854406130268,0.00766283524904215,0.00383141762452107,0.0996168582375479,0.42911877394636
"bellico01",504,0.138888888888889,0.21031746031746,0.0535714285714286,0.0376984126984127,0.134920634920635,0.0277777777777778,0.00595238095238095,0.0753968253968254,0.297619047619048
"belljo02",1104,0.141304347826087,0.266304347826087,0.052536231884058,0.0307971014492754,0.128623188405797,0,0.00181159420289855,0.146739130434783,0.184782608695652
"beltbr01",254,0.0984251968503937,0.21259842519685,0.0354330708661417,0.031496062992126,0.0905511811023622,0.00393700787401575,0,0.145669291338583,0.318897637795276
"beninan01",922,0.117136659436009,0.303687635574837,0.0498915401301518,0.0108459869848156,0.110629067245119,0.017353579175705,0.00650759219088937,0.112798264642082,0.167028199566161
"bertijo01",358,0.131284916201117,0.240223463687151,0.0474860335195531,0.0111731843575419,0.0782122905027933,0.114525139664804,0.0139664804469274,0.11731843575419,0.248603351955307
