County,LifeExpectancy,AgeAdjustedDeathRate,PercentExcessDrinking,PercentInactive,PercentSmokers,WaterViolation,AirPPM,PercentDiabetes,PercentFoodDesert,PercentLongCommute,PercentInsufficientSleep,PercentUninsured,HighSchoolGradRate,HouseholdIncome,JuvenileArrestRate,BroadbandAccess,PercentUnder18,PercentOver65,PercentWhite,PercentRural,
Pickaway,75.5,463,18,29,24,No,9.0,16,2,51,41,8,89,63931,18,82,21.2,16.0,92.4,49.9,1
Pike,72.4,645,18,34,28,No,8.6,19,7,40,42,10,93,46255,14,71,23.4,18.2,95.0,74.2,0
Portage,78.0,353,19,25,21,No,7.1,11,8,40,40,8,90,57439,33,81,18.5,17.0,89.2,32.8,1
Preble,75.4,456,20,26,24,No,7.5,10,0,41,39,9,91,62128,59,79,22.2,19.8,96.1,69.2,0
Putnam,80.5,258,21,23,19,No,9.2,10,4,31,39,7,95,73454,34,82,25.4,18.0,92.0,84.7,0
Richland,75.9,469,17,32,26,Yes,8.8,14,11,22,40,10,83,51883,48,77,21.5,19.8,85.4,32.1,1
Ross,75.3,476,17,32,27,No,8.8,15,6,32,44,9,85,54728,45,79,21.2,17.1,89.7,58.7,0
Sandusky,76.5,423,18,27,24,No,9.2,14,3,24,38,7,94,58415,91,79,22.1,19.3,84.0,44.1,0
Scioto,72.0,646,17,34,30,No,8.5,16,7,32,45,10,86,45410,32,74,21.6,18.6,93.2,54.3,0
Seneca,77.2,391,18,28,25,No,9.0,13,5,27,40,8,92,55664,52,79,21.7,18.6,89.2,47.5,0
Shelby,77.6,390,20,27,24,No,9.4,10,6,19,40,8,89,64304,43,82,24.6,17.0,92.6,51.1,0
Stark,77.0,404,19,28,24,Yes,9.5,13,8,26,40,9,88,55623,33,83,21.3,19.9,86.2,13.5,1
Summit,77.2,395,17,26,23,No,10.3,12,8,29,39,9,82,57753,38,83,20.7,18.5,76.4,3.9,1
Trumbull,75.5,469,17,28,27,Yes,7.5,14,8,26,45,9,86,47966,34,77,20.3,22.1,86.9,27.3,1
Tuscarawas,77.4,383,20,26,25,No,9.4,11,7,27,40,11,83,54150,30,75,22.8,20.0,94.0,41.6,1
Union,79.0,299,18,24,19,No,9.0,9,5,38,38,6,94,91597,31,88,24.5,12.7,88.8,50.0,0
Van Wert,78.0,372,19,28,24,No,9.3,15,6,25,40,8,93,55361,29,76,23.2,19.4,93.5,50.7,0
Vinton,74.5,517,17,34,31,Yes,8.4,12,24,48,43,10,88,46301,53,64,21.7,18.6,96.3,100.0,0
Warren,79.3,290,17,21,17,No,10.1,11,5,40,36,6,90,91645,27,92,24.2,14.9,85.3,17.3,1
Washington,76.8,404,19,30,25,No,8.7,15,4,29,41,9,88,52565,30,73,19.7,21.6,94.9,56.6,1
Wayne,78.0,366,16,24,23,No,9.7,14,5,24,39,13,90,58747,25,79,24.2,18.3,93.5,51.0,0
Williams,77.3,391,20,28,24,No,9.1,12,7,18,40,8,91,54239,41,81,22.6,19.2,92.1,63.6,0
Wood,78.8,318,19,24,21,Yes,9.5,13,10,23,37,7,93,64723,62,85,20.3,15.7,88.0,29.5,1
Wyandot,77.4,375,19,24,24,No,8.9,15,2,28,39,8,94,61733,43,78,22.5,19.9,94.5,57.4,0
,,,,,,,,,,,,,,,,,,,,,
